grid,t_idx,k,out_lines,source
IEEE118,34347,0,[],random
IEEE118,2120,0,[],random
IEEE118,2115,0,[],random
IEEE118,33931,0,[],random
IEEE118,5823,0,[],random
IEEE118,8459,0,[],random
IEEE118,7402,0,[],random
IEEE118,2068,0,[],random
IEEE118,20822,0,[],random
IEEE118,13718,0,[],random
IEEE118,10777,0,[],random
IEEE118,17964,0,[],random
IEEE118,15168,0,[],random
IEEE118,34451,0,[],random
IEEE118,3271,0,[],random
IEEE118,23805,0,[],random
IEEE118,11013,0,[],random
IEEE118,34246,0,[],random
IEEE118,19517,0,[],random
IEEE118,8290,0,[],random
IEEE118,27079,0,[],random
IEEE118,4676,0,[],random
IEEE118,9235,0,[],random
IEEE118,14830,0,[],random
IEEE118,9846,0,[],random
IEEE118,17219,0,[],random
IEEE118,2304,0,[],random
IEEE118,29434,0,[],random
IEEE118,3341,0,[],random
IEEE118,5130,0,[],random
IEEE118,23852,0,[],random
IEEE118,29046,0,[],random
IEEE118,20827,0,[],random
IEEE118,14401,0,[],random
IEEE118,28999,0,[],random
IEEE118,30292,0,[],random
IEEE118,9781,0,[],random
IEEE118,33150,0,[],random
IEEE118,889,0,[],random
IEEE118,10446,0,[],random
IEEE118,30981,0,[],random
IEEE118,6354,0,[],random
IEEE118,8960,0,[],random
IEEE118,33335,0,[],random
IEEE118,27400,0,[],random
IEEE118,6495,0,[],random
IEEE118,33731,0,[],random
IEEE118,3481,0,[],random
IEEE118,17868,0,[],random
IEEE118,5882,0,[],random
IEEE118,33574,0,[],random
IEEE118,16527,0,[],random
IEEE118,2111,0,[],random
IEEE118,12781,0,[],random
IEEE118,10664,0,[],random
IEEE118,27734,0,[],random
IEEE118,29618,0,[],random
IEEE118,25269,0,[],random
IEEE118,18763,0,[],random
IEEE118,12723,0,[],random
IEEE118,4587,0,[],random
IEEE118,23638,0,[],random
IEEE118,21164,0,[],random
IEEE118,17885,0,[],random
IEEE118,26059,0,[],random
IEEE118,14303,0,[],random
IEEE118,9614,0,[],random
IEEE118,12200,0,[],random
IEEE118,11935,0,[],random
IEEE118,8294,0,[],random
IEEE118,23486,0,[],random
IEEE118,2984,0,[],random
IEEE118,26595,0,[],random
IEEE118,16048,0,[],random
IEEE118,8974,0,[],random
IEEE118,21722,0,[],random
IEEE118,11347,0,[],random
IEEE118,4755,0,[],random
IEEE118,22298,0,[],random
IEEE118,13001,0,[],random
IEEE118,9366,0,[],random
IEEE118,6686,0,[],random
IEEE118,7595,0,[],random
IEEE118,11319,0,[],random
IEEE118,28557,0,[],random
IEEE118,11932,0,[],random
IEEE118,11284,0,[],random
IEEE118,22757,0,[],random
IEEE118,28759,0,[],random
IEEE118,30631,0,[],random
IEEE118,12106,0,[],random
IEEE118,4485,0,[],random
IEEE118,19589,0,[],random
IEEE118,25470,0,[],random
IEEE118,20859,0,[],random
IEEE118,6320,0,[],random
IEEE118,5168,0,[],random
IEEE118,9130,0,[],random
IEEE118,1662,0,[],random
IEEE118,28944,0,[],random
IEEE118,29354,0,[],random
IEEE118,27081,0,[],random
IEEE118,12964,0,[],random
IEEE118,5038,0,[],random
IEEE118,28587,0,[],random
IEEE118,32144,0,[],random
IEEE118,10234,0,[],random
IEEE118,34188,0,[],random
IEEE118,9710,0,[],random
IEEE118,5427,0,[],random
IEEE118,17,0,[],random
IEEE118,8028,0,[],random
IEEE118,27985,0,[],random
IEEE118,20161,0,[],random
IEEE118,6725,0,[],random
IEEE118,10221,0,[],random
IEEE118,20680,0,[],random
IEEE118,7616,0,[],random
IEEE118,30673,0,[],random
IEEE118,10350,0,[],random
IEEE118,27974,0,[],random
IEEE118,32461,0,[],random
IEEE118,29774,0,[],random
IEEE118,4094,0,[],random
IEEE118,9085,0,[],random
IEEE118,1813,0,[],random
IEEE118,23797,0,[],random
IEEE118,17392,0,[],random
IEEE118,28883,0,[],random
IEEE118,11867,0,[],random
IEEE118,32242,0,[],random
IEEE118,8347,0,[],random
IEEE118,34219,0,[],random
IEEE118,14109,0,[],random
IEEE118,23556,0,[],random
IEEE118,25272,0,[],random
IEEE118,15857,0,[],random
IEEE118,16797,0,[],random
IEEE118,15001,0,[],random
IEEE118,16173,0,[],random
IEEE118,14405,0,[],random
IEEE118,30358,0,[],random
IEEE118,31332,0,[],random
IEEE118,33148,0,[],random
IEEE118,29039,0,[],random
IEEE118,26258,0,[],random
IEEE118,16341,0,[],random
IEEE118,7920,0,[],random
IEEE118,16840,0,[],random
IEEE118,197,0,[],random
IEEE118,14437,0,[],random
IEEE118,32294,0,[],random
IEEE118,2743,0,[],random
IEEE118,31562,0,[],random
IEEE118,870,0,[],random
IEEE118,12095,0,[],random
IEEE118,30603,0,[],random
IEEE118,8362,0,[],random
IEEE118,23525,0,[],random
IEEE118,34177,0,[],random
IEEE118,31600,0,[],random
IEEE118,8596,0,[],random
IEEE118,10967,0,[],random
IEEE118,27117,0,[],random
IEEE118,33006,0,[],random
IEEE118,11676,0,[],random
IEEE118,16995,0,[],random
IEEE118,16756,0,[],random
IEEE118,16041,0,[],random
IEEE118,12798,0,[],random
IEEE118,30695,0,[],random
IEEE118,32408,0,[],random
IEEE118,22491,0,[],random
IEEE118,20928,0,[],random
IEEE118,26912,0,[],random
IEEE118,9550,0,[],random
IEEE118,22018,0,[],random
