grid,t_idx,k,out_lines,source
IEEE39,19071,1,[1],random
IEEE39,23596,0,[],random
IEEE39,1401,0,[],random
IEEE39,9018,0,[],random
IEEE39,3713,0,[],random
IEEE39,5112,0,[],random
IEEE39,1631,2,"[23, 24]",random
IEEE39,22814,1,[0],random
IEEE39,23037,0,[],random
IEEE39,1775,0,[],random
IEEE39,17908,2,"[6, 31]",random
IEEE39,4806,0,[],random
IEEE39,16645,2,"[9, 20]",random
IEEE39,20005,1,[27],random
IEEE39,19039,1,[9],random
IEEE39,19513,0,[],random
IEEE39,26049,1,[33],random
IEEE39,3055,0,[],random
IEEE39,21079,1,[4],random
IEEE39,22408,1,[30],random
IEEE39,446,2,"[1, 20]",random
IEEE39,22963,2,"[28, 30]",random
IEEE39,24531,2,"[0, 17]",random
IEEE39,22080,2,"[5, 10]",random
IEEE39,1684,0,[],random
IEEE39,24632,2,"[28, 33]",random
IEEE39,19579,0,[],random
IEEE39,9205,2,"[22, 34]",random
IEEE39,7470,1,[17],random
IEEE39,19948,0,[],random
IEEE39,1421,0,[],random
IEEE39,3243,0,[],random
IEEE39,18840,2,"[9, 22]",random
IEEE39,7482,1,[25],random
IEEE39,7455,0,[],random
IEEE39,3728,0,[],random
IEEE39,20911,2,"[0, 22]",random
IEEE39,19635,1,[6],random
IEEE39,10495,2,"[0, 30]",random
IEEE39,18766,1,[10],random
IEEE39,20901,0,[],random
IEEE39,507,2,"[4, 9]",random
IEEE39,849,1,[28],random
IEEE39,24904,1,[31],random
IEEE39,5447,0,[],random
IEEE39,1779,2,"[6, 25]",random
IEEE39,573,0,[],random
IEEE39,2602,0,[],random
IEEE39,22110,1,[20],random
IEEE39,13187,2,"[7, 27]",random
IEEE39,2318,1,[31],random
IEEE39,1682,0,[],random
IEEE39,27045,1,[28],random
IEEE39,21312,1,[10],random
IEEE39,19060,0,[],random
IEEE39,1324,0,[],random
IEEE39,18257,0,[],random
IEEE39,23170,0,[],random
IEEE39,138,1,[15],random
IEEE39,25045,1,[22],random
IEEE39,22986,2,"[8, 19]",random
IEEE39,276,0,[],random
IEEE39,3089,1,[32],random
IEEE39,18976,2,"[3, 34]",random
IEEE39,7206,0,[],random
IEEE39,7192,1,[5],random
IEEE39,25071,0,[],random
IEEE39,19650,2,"[9, 31]",random
IEEE39,16436,1,[5],random
IEEE39,16472,2,"[17, 26]",random
IEEE39,10,1,[30],random
IEEE39,20514,2,"[5, 7]",random
IEEE39,4501,2,"[10, 33]",random
IEEE39,17147,0,[],random
IEEE39,46,1,[16],random
IEEE39,24924,0,[],random
IEEE39,17282,2,"[22, 24]",random
IEEE39,23711,2,"[22, 24]",random
IEEE39,15597,0,[],random
IEEE39,437,1,[13],random
IEEE39,11807,0,[],random
IEEE39,20429,2,"[23, 25]",random
IEEE39,22962,0,[],random
IEEE39,4535,1,[22],random
IEEE39,24538,1,[31],random
IEEE39,3663,0,[],random
IEEE39,20779,2,"[10, 28]",random
IEEE39,22018,2,"[4, 20]",random
IEEE39,1537,1,[4],random
IEEE39,21032,0,[],random
IEEE39,6448,0,[],random
IEEE39,14022,0,[],random
IEEE39,5066,1,[32],random
IEEE39,9053,2,"[17, 32]",random
IEEE39,120,0,[],random
IEEE39,19750,1,[16],random
IEEE39,534,2,"[12, 23]",random
IEEE39,2902,0,[],random
IEEE39,8935,2,"[20, 24]",random
IEEE39,14023,0,[],random
IEEE39,6438,1,[5],random
IEEE39,9019,1,[24],random
IEEE39,5391,1,[12],random
IEEE39,22786,1,[28],random
IEEE39,24943,1,[3],random
IEEE39,23373,2,"[7, 19]",random
IEEE39,24557,1,[25],random
IEEE39,17915,0,[],random
IEEE39,23240,2,"[20, 33]",random
IEEE39,8919,1,[30],random
IEEE39,17240,2,"[5, 25]",random
IEEE39,23050,1,[22],random
IEEE39,23290,0,[],random
IEEE39,3918,0,[],random
IEEE39,23107,1,[18],random
IEEE39,2481,1,[10],random
IEEE39,19230,0,[],random
IEEE39,2466,2,"[14, 20]",random
IEEE39,15305,1,[12],random
IEEE39,24819,0,[],random
IEEE39,21790,1,[7],random
IEEE39,21229,0,[],random
IEEE39,21474,2,"[4, 33]",random
IEEE39,19761,2,"[20, 22]",random
IEEE39,948,2,"[0, 33]",random
IEEE39,11832,1,[28],random
IEEE39,14531,1,[27],random
IEEE39,4045,0,[],random
IEEE39,17983,2,"[10, 20]",random
IEEE39,4125,1,[27],random
IEEE39,3838,1,[7],random
IEEE39,1467,0,[],random
IEEE39,7405,1,[25],random
IEEE39,17664,0,[],random
IEEE39,233,1,[33],random
IEEE39,24635,2,"[9, 23]",random
IEEE39,4399,0,[],random
IEEE39,21860,1,[2],random
IEEE39,4250,0,[],random
IEEE39,16552,1,[20],random
IEEE39,7004,0,[],random
IEEE39,21452,1,[10],random
IEEE39,15880,0,[],random
IEEE39,20986,1,[27],random
IEEE39,11914,0,[],random
IEEE39,18492,1,[30],random
IEEE39,17404,2,"[11, 26]",random
IEEE39,24498,1,[20],random
