grid,t_idx,k,out_lines,source
UK,24046,0,[],random
UK,23999,0,[],random
UK,10207,0,[],random
UK,15162,0,[],random
UK,17557,0,[],random
UK,3335,0,[],random
UK,3836,0,[],random
UK,28263,0,[],random
UK,34036,0,[],random
UK,34451,0,[],random
UK,21738,0,[],random
UK,8581,0,[],random
UK,5518,0,[],random
UK,34588,0,[],random
UK,8751,0,[],random
UK,24001,0,[],random
UK,7127,0,[],random
UK,20194,0,[],random
UK,27514,0,[],random
UK,32523,0,[],random
UK,32081,0,[],random
UK,16034,0,[],random
UK,29598,0,[],random
UK,16511,0,[],random
UK,23420,0,[],random
UK,25607,0,[],random
UK,28544,0,[],random
UK,16454,0,[],random
UK,6250,0,[],random
UK,9350,0,[],random
UK,15569,0,[],random
UK,1895,0,[],random
UK,31833,0,[],random
UK,5525,0,[],random
UK,11686,0,[],random
UK,1745,0,[],random
UK,22429,0,[],random
UK,21781,0,[],random
UK,10586,0,[],random
UK,27523,0,[],random
UK,26986,0,[],random
UK,3002,0,[],random
UK,9980,0,[],random
UK,10682,0,[],random
UK,24092,0,[],random
UK,30443,0,[],random
UK,32544,0,[],random
UK,22635,0,[],random
UK,31301,0,[],random
UK,30123,0,[],random
UK,29630,0,[],random
UK,7211,0,[],random
UK,10368,0,[],random
UK,31650,0,[],random
UK,33107,0,[],random
UK,34573,0,[],random
UK,17611,0,[],random
UK,2226,0,[],random
UK,18077,0,[],random
UK,29388,0,[],random
UK,24659,0,[],random
UK,34338,0,[],random
UK,9515,0,[],random
UK,10980,0,[],random
UK,29181,0,[],random
UK,6095,0,[],random
UK,7071,0,[],random
UK,5707,0,[],random
UK,30712,0,[],random
UK,34240,0,[],random
UK,27805,0,[],random
UK,14195,0,[],random
UK,11870,0,[],random
UK,856,0,[],random
UK,3601,0,[],random
UK,15835,0,[],random
UK,22959,0,[],random
UK,31186,0,[],random
UK,5096,0,[],random
UK,12710,0,[],random
UK,27936,0,[],random
UK,5603,0,[],random
UK,4498,0,[],random
UK,23853,0,[],random
UK,23740,0,[],random
UK,33000,0,[],random
UK,17598,0,[],random
UK,10175,0,[],random
UK,3334,0,[],random
UK,12177,0,[],random
UK,16572,0,[],random
UK,5556,0,[],random
UK,12226,0,[],random
UK,3207,0,[],random
UK,16232,0,[],random
UK,12601,0,[],random
UK,24926,0,[],random
UK,16299,0,[],random
UK,4183,0,[],random
UK,29654,0,[],random
UK,6473,0,[],random
UK,23205,0,[],random
UK,14569,0,[],random
UK,26165,0,[],random
UK,10777,0,[],random
UK,30296,0,[],random
UK,11920,0,[],random
UK,2736,0,[],random
UK,8668,0,[],random
UK,5770,0,[],random
UK,27864,0,[],random
UK,10477,0,[],random
UK,10755,0,[],random
UK,4746,0,[],random
UK,12712,0,[],random
UK,12809,0,[],random
UK,30995,0,[],random
UK,15382,0,[],random
UK,31966,0,[],random
UK,4087,0,[],random
UK,27917,0,[],random
UK,12184,0,[],random
UK,16197,0,[],random
UK,12951,0,[],random
UK,27702,0,[],random
UK,30396,0,[],random
UK,28053,0,[],random
UK,11990,0,[],random
UK,6568,0,[],random
UK,1544,0,[],random
UK,18503,0,[],random
UK,18952,0,[],random
UK,12747,0,[],random
UK,18397,0,[],random
UK,25693,0,[],random
UK,25334,0,[],random
UK,4102,0,[],random
UK,3915,0,[],random
UK,16321,0,[],random
UK,6127,0,[],random
UK,33232,0,[],random
UK,33148,0,[],random
UK,32467,0,[],random
UK,26306,0,[],random
UK,25311,0,[],random
UK,29789,0,[],random
UK,3716,0,[],random
UK,23328,0,[],random
UK,602,0,[],random
UK,17831,0,[],random
UK,6899,0,[],random
UK,23844,0,[],random
UK,13026,0,[],random
UK,34953,0,[],random
UK,636,0,[],random
UK,3860,0,[],random
UK,29034,0,[],random
UK,7989,0,[],random
UK,17834,0,[],random
UK,34442,0,[],random
UK,1974,0,[],random
UK,27565,0,[],random
UK,2008,0,[],random
UK,20158,0,[],random
UK,23000,0,[],random
UK,15699,0,[],random
UK,12686,0,[],random
UK,20522,0,[],random
UK,7308,0,[],random
UK,8120,0,[],random
UK,30731,0,[],random
UK,29416,0,[],random
UK,26826,0,[],random
UK,14390,0,[],random
UK,15616,0,[],random
UK,20483,0,[],random
UK,32169,0,[],random
UK,13602,0,[],random
UK,13033,0,[],random
UK,15354,0,[],random
UK,15141,0,[],random
UK,5694,0,[],random
UK,2662,0,[],random
UK,31462,0,[],random
UK,31850,0,[],random
UK,12432,0,[],random
UK,22954,0,[],random
UK,730,0,[],random
UK,18615,0,[],random
UK,7759,0,[],random
UK,14629,0,[],random
UK,11788,0,[],random
UK,3162,0,[],random
UK,17424,0,[],random
UK,25284,0,[],random
UK,10708,0,[],random
UK,7141,0,[],random
UK,12207,0,[],random
UK,12470,0,[],random
UK,30878,0,[],random
UK,8738,0,[],random
UK,11294,0,[],random
UK,19675,0,[],random
UK,2306,0,[],random
UK,20156,0,[],random
UK,13390,0,[],random
UK,5299,0,[],random
UK,28126,0,[],random
UK,10095,0,[],random
UK,25710,0,[],random
UK,31632,0,[],random
UK,24225,0,[],random
UK,20881,0,[],random
UK,23815,0,[],random
UK,19083,0,[],random
UK,30136,0,[],random
UK,19790,0,[],random
UK,4968,0,[],random
UK,18737,0,[],random
UK,34489,0,[],random
UK,1400,0,[],random
UK,8129,0,[],random
UK,1651,0,[],random
UK,3611,0,[],random
UK,3742,0,[],random
UK,33281,0,[],random
UK,4649,0,[],random
UK,6000,0,[],random
UK,9367,0,[],random
UK,2454,0,[],random
UK,24653,0,[],random
UK,27208,0,[],random
UK,11113,0,[],random
UK,3186,0,[],random
UK,19653,0,[],random
UK,33594,0,[],random
UK,16485,0,[],random
UK,10996,0,[],random
UK,10863,0,[],random
UK,8132,0,[],random
UK,22427,0,[],random
UK,1924,0,[],random
UK,33867,0,[],random
UK,20557,0,[],random
UK,22174,0,[],random
UK,4006,0,[],random
UK,15335,0,[],random
UK,838,0,[],random
UK,22755,0,[],random
UK,24507,0,[],random
UK,32335,0,[],random
UK,15536,0,[],random
UK,20853,0,[],random
UK,13768,0,[],random
UK,25979,0,[],random
UK,16912,0,[],random
UK,30051,0,[],random
UK,3272,0,[],random
UK,17448,0,[],random
UK,15093,0,[],random
UK,28366,0,[],random
UK,14126,0,[],random
UK,19064,0,[],random
UK,4554,0,[],random
UK,19217,0,[],random
UK,6672,0,[],random
UK,27765,0,[],random
UK,34308,0,[],random
UK,24396,0,[],random
UK,7090,0,[],random
UK,28558,0,[],random
UK,4590,0,[],random
UK,14710,0,[],random
UK,17733,0,[],random
UK,20552,0,[],random
UK,25249,0,[],random
UK,33079,0,[],random
UK,1484,0,[],random
UK,26919,0,[],random
UK,24188,0,[],random
UK,13872,0,[],random
UK,13204,0,[],random
UK,18307,0,[],random
UK,3382,0,[],random
UK,13823,0,[],random
UK,25075,0,[],random
UK,31382,0,[],random
UK,2825,0,[],random
UK,9430,0,[],random
UK,28062,0,[],random
UK,16090,0,[],random
UK,148,0,[],random
UK,9211,0,[],random
UK,12222,0,[],random
UK,17471,0,[],random
UK,7376,0,[],random
UK,14912,0,[],random
UK,16221,0,[],random
UK,6258,0,[],random
UK,15682,0,[],random
UK,26947,0,[],random
UK,16875,0,[],random
UK,17262,0,[],random
UK,12940,0,[],random
UK,17161,0,[],random
UK,6907,0,[],random
UK,2252,0,[],random
UK,23061,0,[],random
UK,26479,0,[],random
UK,21926,0,[],random
UK,30573,0,[],random
UK,7815,0,[],random
UK,6779,0,[],random
UK,33141,0,[],random
UK,7602,0,[],random
UK,33084,0,[],random
UK,6257,0,[],random
UK,12248,0,[],random
UK,7206,0,[],random
UK,29958,0,[],random
UK,14720,0,[],random
UK,27617,0,[],random
UK,21742,0,[],random
UK,26308,0,[],random
UK,28791,0,[],random
UK,25725,0,[],random
UK,12806,0,[],random
UK,6840,0,[],random
UK,18184,0,[],random
UK,34177,0,[],random
