grid,t_idx,k,out_lines,source
IEEE24,25313,0,[],random
IEEE24,12402,0,[],random
IEEE24,18042,1,[13],random
IEEE24,19662,1,[19],random
IEEE24,24026,0,[],random
IEEE24,27789,0,[],random
IEEE24,4089,2,"[23, 24]",random
IEEE24,10967,1,[18],random
IEEE24,6864,1,[5],random
IEEE24,4889,0,[],random
IEEE24,17592,1,[32],random
IEEE24,3801,0,[],random
IEEE24,26311,0,[],random
IEEE24,11113,0,[],random
IEEE24,19591,2,"[3, 23]",random
IEEE24,12660,1,[5],random
IEEE24,874,2,"[4, 23]",random
IEEE24,14641,2,"[6, 30]",random
IEEE24,16500,0,[],random
IEEE24,24307,2,"[18, 28]",random
IEEE24,13293,1,[10],random
IEEE24,24164,1,[32],random
IEEE24,5136,0,[],random
IEEE24,21733,0,[],random
IEEE24,2786,0,[],random
IEEE24,8911,2,"[2, 23]",random
IEEE24,140,0,[],random
IEEE24,7795,1,[16],random
IEEE24,6280,0,[],random
IEEE24,19951,2,"[18, 29]",random
IEEE24,8840,0,[],random
IEEE24,24032,0,[],random
IEEE24,12941,1,[13],random
IEEE24,18971,0,[],random
IEEE24,23535,1,[11],random
IEEE24,25523,1,[27],random
IEEE24,20388,2,"[10, 22]",random
IEEE24,23452,0,[],random
IEEE24,498,2,"[18, 26]",random
IEEE24,7185,0,[],random
IEEE24,20825,1,[23],random
IEEE24,13204,2,"[16, 24]",random
IEEE24,15297,0,[],random
IEEE24,2010,2,"[3, 4]",random
IEEE24,13320,1,[24],random
IEEE24,5626,1,[14],random
IEEE24,4980,0,[],random
IEEE24,3002,1,[10],random
IEEE24,15503,0,[],random
IEEE24,14176,2,"[3, 15]",random
IEEE24,6641,2,"[20, 28]",random
IEEE24,8776,0,[],random
IEEE24,12021,0,[],random
IEEE24,6259,0,[],random
IEEE24,14057,0,[],random
IEEE24,9174,0,[],random
IEEE24,6114,0,[],random
IEEE24,19138,2,"[3, 26]",random
IEEE24,27638,1,[22],random
IEEE24,20888,2,"[10, 24]",random
IEEE24,20613,1,[1],random
IEEE24,14358,1,[12],random
IEEE24,14849,2,"[0, 6]",random
IEEE24,5074,0,[],random
IEEE24,9475,0,[],random
IEEE24,6552,0,[],random
IEEE24,10089,0,[],random
IEEE24,25082,1,[32],random
IEEE24,23083,1,[14],random
