grid,t_idx,k,out_lines,source
UK,19131,0,[],random
UK,19093,2,"[24, 37]",random
UK,25650,0,[],random
UK,13969,2,"[8, 68]",random
UK,3052,2,"[53, 68]",random
UK,27079,0,[],random
UK,27409,2,"[21, 52]",random
UK,23240,0,[],random
UK,4390,0,[],random
UK,27518,0,[],random
UK,6963,1,[58],random
UK,5500,1,[71],random
UK,11952,2,"[50, 67]",random
UK,22807,1,[44],random
UK,25524,1,[39],random
UK,27795,1,[18],random
UK,23707,1,[28],random
UK,18633,1,[62],random
UK,14053,1,[36],random
UK,25380,1,[71],random
UK,4972,1,[22],random
UK,23440,0,[],random
UK,9236,2,"[51, 67]",random
UK,4396,2,"[3, 72]",random
UK,1388,1,[76],random
UK,26382,1,[22],random
UK,17679,2,"[25, 67]",random
UK,20782,2,"[7, 65]",random
UK,23869,1,[24],random
UK,8498,1,[38],random
UK,6807,2,"[15, 71]",random
UK,26364,1,[22],random
UK,7223,1,[76],random
UK,23966,1,[17],random
UK,1350,0,[],random
UK,24049,2,"[8, 25]",random
UK,16791,1,[39],random
UK,26340,2,"[81, 83]",random
UK,14011,1,[5],random
UK,27827,2,"[23, 78]",random
UK,27843,2,"[81, 84]",random
UK,13559,0,[],random
UK,20563,1,[61],random
UK,26051,0,[],random
UK,23247,0,[],random
UK,57,0,[],random
UK,16039,1,[61],random
UK,24434,1,[84],random
UK,80,1,[40],random
UK,3518,0,[],random
UK,8313,0,[],random
UK,11181,2,"[8, 85]",random
UK,4636,0,[],random
UK,25613,2,"[5, 64]",random
UK,13986,1,[80],random
UK,5174,0,[],random
UK,22226,1,[13],random
UK,22230,2,"[6, 10]",random
UK,11874,2,"[28, 74]",random
UK,24403,0,[],random
UK,15806,0,[],random
UK,10494,1,[79],random
UK,5285,0,[],random
UK,26751,0,[],random
UK,2862,2,"[30, 70]",random
UK,1744,2,"[39, 52]",random
UK,25239,1,[1],random
UK,19831,1,[40],random
UK,16413,2,"[41, 77]",random
UK,27350,1,[61],random
UK,9260,1,[18],random
UK,11591,1,[64],random
UK,16654,2,"[48, 58]",random
UK,18299,0,[],random
UK,25418,2,"[33, 81]",random
UK,4590,2,"[41, 51]",random
UK,8335,1,[9],random
UK,8921,0,[],random
UK,23992,1,[13],random
UK,10113,2,"[27, 31]",random
UK,24659,2,"[37, 73]",random
UK,25432,2,"[9, 15]",random
UK,22211,0,[],random
UK,9693,0,[],random
UK,12887,1,[31],random
UK,2556,2,"[43, 68]",random
UK,7868,1,[76],random
UK,11277,0,[],random
UK,25590,0,[],random
UK,26550,0,[],random
UK,25111,1,[31],random
UK,2042,2,"[30, 45]",random
UK,13313,0,[],random
UK,20442,1,[62],random
UK,18472,0,[],random
UK,26341,2,"[20, 55]",random
UK,4875,2,"[4, 74]",random
UK,26373,0,[],random
UK,24009,2,"[13, 33]",random
UK,20880,2,"[26, 48]",random
UK,4018,1,[4],random
UK,22510,2,"[1, 52]",random
UK,19341,0,[],random
UK,10460,2,"[19, 44]",random
UK,19861,2,"[47, 58]",random
UK,16742,0,[],random
UK,19992,2,"[71, 82]",random
UK,22466,2,"[9, 43]",random
UK,18063,0,[],random
UK,10579,2,"[42, 74]",random
UK,22624,1,[77],random
UK,13815,1,[56],random
UK,12490,0,[],random
UK,8600,1,[61],random
UK,589,2,"[17, 48]",random
UK,17065,1,[3],random
UK,24450,0,[],random
UK,23404,1,[65],random
UK,11448,0,[],random
UK,27407,1,[45],random
UK,10968,2,"[37, 78]",random
UK,16171,2,"[12, 31]",random
UK,7568,0,[],random
UK,16521,0,[],random
UK,18752,2,"[6, 83]",random
UK,15725,0,[],random
UK,3390,1,[35],random
UK,2585,0,[],random
UK,18262,2,"[1, 74]",random
UK,14810,2,"[18, 58]",random
UK,11639,2,"[5, 28]",random
UK,2516,2,"[42, 73]",random
UK,20116,2,"[25, 43]",random
UK,5682,2,"[29, 53]",random
UK,9921,2,"[60, 74]",random
UK,6952,0,[],random
UK,8985,2,"[5, 47]",random
UK,22652,0,[],random
UK,16036,0,[],random
UK,10653,1,[13],random
UK,22377,2,"[36, 44]",random
UK,20455,2,"[21, 56]",random
UK,19273,2,"[47, 71]",random
UK,18948,2,"[30, 36]",random
UK,23976,1,[11],random
UK,13886,0,[],random
UK,19788,2,"[40, 45]",random
UK,27667,1,[44],random
UK,1114,0,[],random
UK,6467,2,"[4, 8]",random
UK,8302,1,[9],random
UK,26478,1,[14],random
UK,10936,0,[],random
UK,10647,1,[40],random
UK,7453,1,[6],random
UK,11948,2,"[41, 71]",random
UK,23865,0,[],random
UK,11075,2,"[66, 75]",random
UK,26728,0,[],random
UK,8737,0,[],random
UK,20942,1,[77],random
UK,25968,0,[],random
UK,14917,2,"[5, 55]",random
UK,25514,2,"[10, 83]",random
UK,2606,2,"[54, 68]",random
UK,19250,2,"[37, 40]",random
UK,20819,0,[],random
UK,12892,2,"[45, 53]",random
UK,10717,1,[52],random
UK,3730,2,"[33, 50]",random
UK,27491,0,[],random
UK,20669,0,[],random
UK,13455,2,"[8, 72]",random
UK,23518,0,[],random
UK,13882,2,"[21, 36]",random
UK,22568,0,[],random
UK,11239,1,[46],random
UK,3623,1,[55],random
UK,24466,0,[],random
UK,13891,1,[85],random
UK,22090,1,[84],random
UK,9738,0,[],random
UK,27099,0,[],random
UK,26469,0,[],random
UK,19588,2,"[6, 13]",random
UK,14109,1,[65],random
UK,13963,2,"[3, 77]",random
UK,5466,0,[],random
UK,12103,1,[5],random
UK,21417,2,"[58, 80]",random
UK,11036,1,[32],random
UK,836,0,[],random
UK,6644,2,"[0, 5]",random
UK,19950,1,[67],random
UK,12848,0,[],random
UK,20565,0,[],random
UK,1888,2,"[9, 48]",random
UK,12700,0,[],random
UK,858,1,[74],random
