arm,model,grid,seed,path,bytes,n_params,sha256
cross,arma_gnn,IEEE118,0,cross_arma_gnn/cc_arma_gnn_IEEE118_s0.pt,5478549,1367909,013e3abcdab98308da149dc1ce4967df670c8e8fa42bdde5e9fdc946e6530050
cross,arma_gnn,IEEE118,100,cross_arma_gnn/cc_arma_gnn_IEEE118_s100.pt,5478597,1367909,24aa8344c29740bc15e940967f87e9a9b0bd390dbb9f4e39cf98cd809f6ca853
cross,arma_gnn,IEEE118,300,cross_arma_gnn/cc_arma_gnn_IEEE118_s300.pt,5478597,1367909,70daba7f10d50fe8949248b4f377daadb12b6e14ff3a98ec8efc1a620dfd012b
cross,arma_gnn,IEEE118,700,cross_arma_gnn/cc_arma_gnn_IEEE118_s700.pt,5478597,1367909,4527e78dcafc0aa679ee643b7ad6b231615a516b0a54e49aa5c76554172f9abd
cross,arma_gnn,IEEE118,1000,cross_arma_gnn/cc_arma_gnn_IEEE118_s1000.pt,5478621,1367909,6c25771728424170e4ef25e5a6351ed2f94410c3b33f81e9ac32fde903350b82
cross,arma_gnn,IEEE24,0,cross_arma_gnn/cc_arma_gnn_IEEE24_s0.pt,5478461,1367909,f0306d9b970d65d3738720f89833158dc5a010891d1c3be8ca85d4ef9e0f6a71
cross,arma_gnn,IEEE24,100,cross_arma_gnn/cc_arma_gnn_IEEE24_s100.pt,5478573,1367909,2d3cd53dd4fad04225c5667a8c722c0d139f0993f571925b6c7caa3f77e3b636
cross,arma_gnn,IEEE24,300,cross_arma_gnn/cc_arma_gnn_IEEE24_s300.pt,5478573,1367909,d19fcc952dbd423ed2a597fa17d225353315ff76efa5bf0989b2ae5996170533
cross,arma_gnn,IEEE24,700,cross_arma_gnn/cc_arma_gnn_IEEE24_s700.pt,5478573,1367909,99b066475612b762ec91a87d16a52723a767f2c2e261230d2f2e0f81ea599404
cross,arma_gnn,IEEE24,1000,cross_arma_gnn/cc_arma_gnn_IEEE24_s1000.pt,5478597,1367909,552ed25cedcb18ae3c10eac46bfb9d79128d661f5db51cf40960941e1b41f757
cross,arma_gnn,IEEE39,0,cross_arma_gnn/cc_arma_gnn_IEEE39_s0.pt,5478461,1367909,ecd5c80d4d024a0c88fa09d16b57e6e4f5578ffa5b35d5063b1975e15bb9829f
cross,arma_gnn,IEEE39,100,cross_arma_gnn/cc_arma_gnn_IEEE39_s100.pt,5478573,1367909,e554cd1b63328e55aeb3a3720597ae281ad505f35c7d967319cc9335257cd6fb
cross,arma_gnn,IEEE39,300,cross_arma_gnn/cc_arma_gnn_IEEE39_s300.pt,5478573,1367909,72d9f2f845b4011e19e90a6e288b35ff570db239ad4e266e1eae1dac9a99f1d1
cross,arma_gnn,IEEE39,700,cross_arma_gnn/cc_arma_gnn_IEEE39_s700.pt,5478573,1367909,bdeb96a1285481958dfd74128db447feb1684ae3f0c524fd83b48dc3d759ecb6
cross,arma_gnn,IEEE39,1000,cross_arma_gnn/cc_arma_gnn_IEEE39_s1000.pt,5478597,1367909,23af1d53e6b0da8deaf87c63246a00b9de2960f857f44fcc7d13a06abd51e043
cross,arma_gnn,UK,0,cross_arma_gnn/cc_arma_gnn_UK_s0.pt,5478365,1367909,f008bf4e784954ab61d37b48294401b73f57d7c332ae81ec553a8b1ffc3b5bf6
cross,arma_gnn,UK,100,cross_arma_gnn/cc_arma_gnn_UK_s100.pt,5478413,1367909,ddd36812411fa5fbdbd4d3e0a6d4889266ee0e7afe057add503e299d2dc22c4e
cross,arma_gnn,UK,300,cross_arma_gnn/cc_arma_gnn_UK_s300.pt,5478413,1367909,374b93b1ad07371d80a8f0c0820232d718ae0cb60553c7a5cb86a73b48acf27b
cross,arma_gnn,UK,700,cross_arma_gnn/cc_arma_gnn_UK_s700.pt,5478413,1367909,98ad23f9a6777871d97bdcc1cf039eb292c5a99317d2e3e32b1a552ae0be0477
cross,arma_gnn,UK,1000,cross_arma_gnn/cc_arma_gnn_UK_s1000.pt,5478437,1367909,287f5fbc2312d88f08a1fe1ce3c6b3747dfb6781124115ffc02a3e8074a53249
cross,gat,IEEE118,0,cross_gat/cc_gat_IEEE118_s0.pt,501731,122980,b65c29e0f770c42bcf330229172870752f4f6c549d6c349a786eed751d36f350
cross,gat,IEEE118,100,cross_gat/cc_gat_IEEE118_s100.pt,501799,122980,24e004c88e4c55625bc7db3cef4a42961494eaaf2ad89322dedfc1f44dcdde68
cross,gat,IEEE118,300,cross_gat/cc_gat_IEEE118_s300.pt,501799,122980,f8be7966aabbc8d83bdcb04e6b6e5274fa8c765f4b73f650b8ded210b07558cc
cross,gat,IEEE118,700,cross_gat/cc_gat_IEEE118_s700.pt,501799,122980,41a2398f0d0f80df20ba69725db6fba425400bbd2bcb3687ee6c2b822ed979b8
cross,gat,IEEE118,1000,cross_gat/cc_gat_IEEE118_s1000.pt,501833,122980,877cfd3da001ef74e980966b7aa3cc7efb0dd13f80961be7d073c26c20a082c0
cross,gat,IEEE24,0,cross_gat/cc_gat_IEEE24_s0.pt,501697,122980,395b4bfc9057edc448fccb319e0207659514783a3a9ef0c4e15d505230aeef60
cross,gat,IEEE24,100,cross_gat/cc_gat_IEEE24_s100.pt,501765,122980,5de2a111c1d4039da2a10d9021c0beb138064e1c1b592842c8e3ffa26d7afe15
cross,gat,IEEE24,300,cross_gat/cc_gat_IEEE24_s300.pt,501765,122980,b3602bb3eee4914d1d66a7fb4e4b4383e2537f265785b5cc70b6073aa4ae4879
cross,gat,IEEE24,700,cross_gat/cc_gat_IEEE24_s700.pt,501765,122980,57f713cb17101d9beec4a4905950580d774313ea88db5e531667d63a412cee9c
cross,gat,IEEE24,1000,cross_gat/cc_gat_IEEE24_s1000.pt,501799,122980,218fbb92551402e8384b9f07a998cc75104bba91089e433e2d2727c7ef94ec12
cross,gat,IEEE39,0,cross_gat/cc_gat_IEEE39_s0.pt,501697,122980,b9dbb3a72be36f6476f2d8b67e7b609214b5019ddefd82a78c8c46bb118b48a0
cross,gat,IEEE39,100,cross_gat/cc_gat_IEEE39_s100.pt,501765,122980,ef805ca6ef6a64d0e49bbc3dd206dd68220d9b92256c43b7587d6e7cc8089ba4
cross,gat,IEEE39,300,cross_gat/cc_gat_IEEE39_s300.pt,501765,122980,63723414f23490f441e1c2438e46d40b1284a6f684dc7374a7ee764f3f74fc09
cross,gat,IEEE39,700,cross_gat/cc_gat_IEEE39_s700.pt,501765,122980,c29644c4a8cd92b847270760125a3a8bc29cafc8712798a39fe98218f968a610
