arm,model,n,P,Q,V,th,maeV,p99V,viol_true,viol_pred,fa
cross,arma_gnn,80,4.7796,1.1321,1.8333,1.4672,0.0769,0.2276,0.141,0.3395,0.2943
cross,gat,80,5.1883,1.7703,3.0126,3.1915,0.1095,0.3435,0.141,0.2925,0.2567
cross,gcn,78,4.9981,1.6055,7.2715,2.1806,0.1941,0.7199,0.1423,0.3008,0.2691
cross,gin,80,2.9377,1.9314,29.4248,7.065,0.6601,3.3707,0.141,0.384,0.3467
cross,nnconv,48,14.7225,2.4361,3.2366,7.6971,0.1226,0.427,0.141,0.3321,0.2825
cross,transformer,80,4.28,1.5985,2.7818,2.1783,0.0981,0.3125,0.141,0.2842,0.2495
ood,arma_gnn,20,7.7208,1.2792,2.5459,1.3144,0.1048,0.2763,0.141,0.3868,0.3636
ood,gat,20,2.8776,0.5485,2.2215,2.5246,0.0887,0.267,0.141,0.3538,0.3359
ood,gcn,20,13.1847,1.0245,4.3731,1.3434,0.1298,0.514,0.141,0.3716,0.381
ood,gin,20,2.5241,0.8122,31.5201,3.4676,0.8885,2.468,0.141,0.5265,0.5004
ood,nnconv,12,44.7602,1.978,2.2464,2.0901,0.0882,0.3827,0.141,0.3512,0.3215
ood,transformer,20,2.4584,0.4397,2.1762,1.4726,0.0936,0.2914,0.141,0.3813,0.3479
within,arma_gnn,20,0.0035,0.0007,0.0015,0.0042,0.0001,0.0011,0.1147,0.1145,0.0008
within,gat,20,0.0084,0.0095,0.0133,0.0149,0.0009,0.0175,0.1147,0.1202,0.0093
within,gcn,20,0.0503,0.0184,0.0192,0.0247,0.0016,0.0202,0.1147,0.117,0.0113
within,gin,20,0.0038,0.009,0.002,0.0097,0.0002,0.0012,0.1147,0.1143,0.0013
within,nnconv,12,0.008,0.0094,0.0138,0.0153,0.001,0.0177,0.1147,0.1192,0.0081
within,transformer,20,0.0065,0.0094,0.0132,0.0147,0.0009,0.0177,0.1147,0.1192,0.0081
