grid,t_idx,k,out_lines,source
IEEE24,31816,0,[],random
IEEE24,15588,0,[],random
IEEE24,22678,1,[13],random
IEEE24,24713,1,[19],random
IEEE24,30198,0,[],random
IEEE24,34928,0,[],random
IEEE24,5140,2,"[23, 24]",random
IEEE24,13785,1,[18],random
IEEE24,8628,1,[5],random
IEEE24,6145,0,[],random
IEEE24,22112,1,[32],random
IEEE24,4778,0,[],random
IEEE24,33071,0,[],random
IEEE24,13968,0,[],random
IEEE24,24625,2,"[3, 23]",random
IEEE24,15913,1,[5],random
IEEE24,1098,2,"[4, 23]",random
IEEE24,18403,2,"[6, 30]",random
IEEE24,20739,0,[],random
IEEE24,30551,2,"[18, 28]",random
IEEE24,16708,1,[10],random
IEEE24,30372,1,[32],random
IEEE24,6455,0,[],random
IEEE24,27317,0,[],random
IEEE24,3502,0,[],random
IEEE24,11200,2,"[2, 23]",random
IEEE24,177,0,[],random
IEEE24,9797,1,[16],random
IEEE24,7894,0,[],random
IEEE24,25077,2,"[18, 29]",random
IEEE24,11111,0,[],random
IEEE24,30206,0,[],random
IEEE24,16266,1,[13],random
IEEE24,23845,0,[],random
IEEE24,29581,1,[11],random
IEEE24,32080,1,[27],random
IEEE24,25625,2,"[10, 22]",random
IEEE24,29477,0,[],random
IEEE24,626,2,"[18, 26]",random
IEEE24,9031,0,[],random
IEEE24,26175,1,[23],random
IEEE24,16596,2,"[16, 24]",random
IEEE24,19227,0,[],random
IEEE24,2527,2,"[3, 4]",random
IEEE24,16742,1,[24],random
IEEE24,7072,1,[14],random
IEEE24,6260,0,[],random
IEEE24,3773,1,[10],random
IEEE24,19486,0,[],random
IEEE24,17818,2,"[3, 15]",random
IEEE24,8348,2,"[20, 28]",random
IEEE24,11031,0,[],random
IEEE24,15109,0,[],random
IEEE24,7867,0,[],random
IEEE24,17669,0,[],random
IEEE24,11531,0,[],random
IEEE24,7685,0,[],random
IEEE24,24055,2,"[3, 26]",random
IEEE24,34738,1,[22],random
IEEE24,26254,2,"[10, 24]",random
IEEE24,25909,1,[1],random
IEEE24,18047,1,[12],random
IEEE24,18663,2,"[0, 6]",random
IEEE24,6378,0,[],random
IEEE24,11909,0,[],random
IEEE24,8235,0,[],random
IEEE24,12681,0,[],random
