grid,t_idx,k,out_lines,source
UK,24046,0,[],random
UK,23999,2,"[24, 37]",random
UK,32240,0,[],random
UK,17557,2,"[8, 68]",random
UK,3836,2,"[53, 68]",random
UK,34036,0,[],random
UK,34451,2,"[21, 52]",random
UK,29211,0,[],random
UK,5518,0,[],random
UK,34588,0,[],random
UK,8751,1,[58],random
UK,6913,1,[71],random
UK,15023,2,"[50, 67]",random
UK,28667,1,[44],random
UK,32081,1,[39],random
UK,34936,1,[18],random
UK,29797,1,[28],random
UK,23420,1,[62],random
UK,17664,1,[36],random
UK,31901,1,[71],random
UK,6250,1,[22],random
UK,29462,0,[],random
UK,11610,2,"[51, 67]",random
UK,5525,2,"[3, 72]",random
UK,1745,1,[76],random
UK,33160,1,[22],random
UK,22221,2,"[25, 67]",random
UK,26121,2,"[7, 65]",random
UK,30001,1,[24],random
UK,10682,1,[38],random
UK,8556,2,"[15, 71]",random
UK,33138,1,[22],random
UK,9078,1,[76],random
UK,30123,1,[17],random
UK,1697,0,[],random
UK,30228,2,"[8, 25]",random
UK,21105,1,[39],random
UK,33107,2,"[81, 83]",random
UK,17611,1,[5],random
UK,34976,2,"[23, 78]",random
UK,34996,2,"[81, 84]",random
UK,17042,0,[],random
UK,25846,1,[61],random
UK,32744,0,[],random
UK,29220,0,[],random
UK,71,0,[],random
UK,20160,1,[61],random
UK,30712,1,[84],random
UK,101,1,[40],random
UK,4423,0,[],random
UK,10449,0,[],random
UK,14053,2,"[8, 85]",random
UK,5827,0,[],random
UK,32193,2,"[5, 64]",random
UK,17579,1,[80],random
UK,6503,0,[],random
UK,27936,1,[13],random
UK,27941,2,"[6, 10]",random
UK,14925,2,"[28, 74]",random
UK,30673,0,[],random
UK,19867,0,[],random
UK,13191,1,[79],random
UK,6643,0,[],random
UK,33624,0,[],random
UK,3598,2,"[30, 70]",random
UK,2192,2,"[39, 52]",random
UK,31724,1,[1],random
UK,24926,1,[40],random
UK,20630,2,"[41, 77]",random
UK,34376,1,[61],random
UK,11639,1,[18],random
UK,14569,1,[64],random
UK,20933,2,"[48, 58]",random
UK,23000,0,[],random
UK,31948,2,"[33, 81]",random
UK,5770,2,"[41, 51]",random
UK,10477,1,[9],random
UK,11213,0,[],random
UK,30155,1,[13],random
UK,12712,2,"[27, 31]",random
UK,30995,2,"[37, 73]",random
UK,31966,2,"[9, 15]",random
UK,27917,0,[],random
UK,12184,0,[],random
UK,16197,1,[31],random
UK,3213,2,"[43, 68]",random
UK,9890,1,[76],random
UK,14174,0,[],random
UK,32165,0,[],random
UK,33371,0,[],random
UK,31562,1,[31],random
UK,2566,2,"[30, 45]",random
UK,16734,0,[],random
UK,25693,1,[62],random
UK,23218,0,[],random
UK,33108,2,"[20, 55]",random
UK,6127,2,"[4, 74]",random
UK,33148,0,[],random
UK,30177,2,"[13, 33]",random
UK,26244,2,"[26, 48]",random
UK,5050,1,[4],random
UK,28293,2,"[1, 52]",random
UK,24311,0,[],random
UK,13148,2,"[19, 44]",random
UK,24963,2,"[47, 58]",random
UK,21043,0,[],random
UK,25128,2,"[71, 82]",random
UK,28238,2,"[9, 43]",random
UK,22703,0,[],random
UK,13297,2,"[42, 74]",random
UK,28437,1,[77],random
UK,17365,1,[56],random
UK,15699,0,[],random
UK,10809,1,[61],random
UK,741,2,"[17, 48]",random
UK,21449,1,[3],random
UK,30731,0,[],random
UK,29416,1,[65],random
UK,14390,0,[],random
UK,34448,1,[45],random
UK,13786,2,"[37, 78]",random
UK,20326,2,"[12, 31]",random
UK,9513,0,[],random
UK,20765,0,[],random
UK,23570,2,"[6, 83]",random
UK,19766,0,[],random
UK,4261,1,[35],random
UK,3249,0,[],random
UK,22954,2,"[1, 74]",random
UK,18615,2,"[18, 58]",random
UK,14629,2,"[5, 28]",random
UK,3162,2,"[42, 73]",random
UK,25284,2,"[25, 43]",random
UK,7141,2,"[29, 53]",random
UK,12470,2,"[60, 74]",random
UK,8738,0,[],random
UK,11294,2,"[5, 47]",random
UK,28471,0,[],random
UK,20156,0,[],random
UK,13390,1,[13],random
UK,28126,2,"[36, 44]",random
UK,25710,2,"[21, 56]",random
UK,24225,2,"[47, 71]",random
UK,23815,2,"[30, 36]",random
UK,30136,1,[11],random
UK,17453,0,[],random
UK,24871,2,"[40, 45]",random
UK,34775,1,[44],random
UK,1400,0,[],random
UK,8129,2,"[4, 8]",random
UK,10435,1,[9],random
UK,33281,1,[14],random
UK,13746,0,[],random
UK,13383,1,[40],random
UK,9367,1,[6],random
UK,15018,2,"[41, 71]",random
UK,29996,0,[],random
UK,13920,2,"[66, 75]",random
UK,33594,0,[],random
UK,10982,0,[],random
UK,26322,1,[77],random
UK,32640,0,[],random
UK,18749,2,"[5, 55]",random
UK,32069,2,"[10, 83]",random
UK,3275,2,"[54, 68]",random
UK,24196,2,"[37, 40]",random
UK,26168,0,[],random
UK,16204,2,"[45, 53]",random
UK,13470,1,[52],random
UK,4688,2,"[33, 50]",random
UK,34554,0,[],random
UK,25979,0,[],random
UK,16912,2,"[8, 72]",random
UK,29560,0,[],random
UK,17448,2,"[21, 36]",random
UK,28366,0,[],random
UK,14126,1,[46],random
UK,4554,1,[55],random
UK,30751,0,[],random
UK,17460,1,[85],random
UK,27765,1,[84],random
UK,12240,0,[],random
UK,34060,0,[],random
UK,33269,0,[],random
UK,24620,2,"[6, 13]",random
UK,17733,1,[65],random
UK,17550,2,"[3, 77]",random
UK,6871,0,[],random
UK,15212,1,[5],random
UK,26919,2,"[58, 80]",random
UK,13872,1,[32],random
UK,1051,0,[],random
UK,8351,2,"[0, 5]",random
UK,25075,1,[67],random
UK,16148,0,[],random
UK,25849,0,[],random
UK,2374,2,"[9, 48]",random
UK,15963,0,[],random
UK,1078,1,[74],random
UK,9211,2,"[29, 44]",random
UK,17471,2,"[17, 74]",random
UK,14912,1,[39],random
UK,21396,1,[26],random
UK,21077,0,[],random
UK,11539,1,[29],random
UK,17632,1,[42],random
UK,12940,0,[],random
UK,21778,0,[],random
UK,25076,2,"[34, 52]",random
UK,23061,0,[],random
UK,12526,1,[68],random
UK,14258,0,[],random
UK,17850,0,[],random
UK,30769,2,"[16, 18]",random
UK,18139,2,"[18, 26]",random
UK,20498,2,"[8, 15]",random
UK,19745,1,[62],random
UK,7206,2,"[41, 72]",random
UK,14720,1,[67],random
UK,17448,2,"[38, 45]",random
UK,30462,2,"[47, 67]",random
UK,17581,0,[],random
UK,3133,1,[60],random
UK,20182,2,"[34, 42]",random
UK,23023,2,"[40, 68]",random
UK,15234,1,[20],random
UK,19450,2,"[57, 61]",random
UK,13280,2,"[76, 81]",random
UK,18742,2,"[24, 47]",random
UK,6861,1,[26],random
UK,13921,0,[],random
UK,32357,2,"[50, 51]",random
UK,34910,1,[73],random
UK,34244,1,[1],random
UK,21989,0,[],random
UK,21908,2,"[17, 71]",random
UK,826,2,"[4, 37]",random
UK,11120,2,"[17, 51]",random
UK,6531,0,[],random
UK,294,0,[],random
UK,10348,1,[72],random
UK,23787,2,"[3, 68]",random
UK,5543,2,"[2, 23]",random
UK,20523,1,[10],random
UK,20316,1,[47],random
UK,1070,2,"[2, 57]",random
UK,21820,0,[],random
UK,18138,1,[69],random
UK,31902,1,[16],random
UK,25800,0,[],random
UK,22318,1,[7],random
UK,12648,2,"[32, 39]",random
UK,32293,2,"[10, 22]",random
UK,2710,1,[33],random
UK,22245,0,[],random
UK,13701,1,[27],random
UK,2219,2,"[26, 64]",random
UK,11586,2,"[49, 72]",random
UK,11691,2,"[7, 41]",random
UK,28745,1,[43],random
UK,16654,0,[],random
UK,21705,0,[],random
UK,12056,1,[77],random
UK,15893,2,"[69, 82]",random
UK,8363,1,[52],random
UK,11299,2,"[0, 23]",random
UK,34159,2,"[32, 83]",random
UK,29321,2,"[53, 76]",random
UK,10199,1,[77],random
UK,28754,1,[72],random
UK,12259,1,[15],random
UK,1211,1,[58],random
UK,24293,0,[],random
UK,15958,1,[51],random
UK,28040,0,[],random
UK,34240,0,[],random
UK,28149,2,"[6, 9]",random
UK,25914,1,[8],random
UK,30983,1,[4],random
UK,24765,0,[],random
UK,28952,0,[],random
UK,6562,0,[],random
UK,33776,2,"[5, 65]",random
UK,30655,1,[25],random
UK,4423,0,[],random
UK,12155,1,[16],random
UK,17891,2,"[7, 50]",random
UK,21672,1,[33],random
UK,27465,2,"[14, 79]",random
UK,24492,0,[],random
UK,24055,0,[],random
UK,33450,1,[8],random
UK,27947,1,[29],random
UK,21205,2,"[5, 15]",random
UK,32229,1,[80],random
UK,27456,1,[3],random
UK,28029,2,"[7, 27]",random
UK,24039,0,[],random
UK,7426,2,"[22, 53]",random
UK,8709,1,[10],random
UK,13455,2,"[17, 65]",random
UK,6580,0,[],random
UK,23240,2,"[41, 46]",random
UK,22821,0,[],random
UK,22887,1,[53],random
UK,25608,1,[23],random
UK,1174,2,"[24, 33]",random
UK,29692,2,"[43, 77]",random
UK,26526,2,"[8, 11]",random
UK,19842,0,[],random
UK,24710,2,"[71, 72]",random
UK,8339,0,[],random
UK,33455,1,[25],random
UK,31372,2,"[16, 65]",random
UK,15301,0,[],random
UK,34431,2,"[37, 58]",random
UK,30045,2,"[4, 58]",random
UK,25499,0,[],random
UK,24718,0,[],random
UK,14067,2,"[18, 80]",random
UK,17651,1,[7],random
UK,1634,0,[],random
UK,15338,0,[],random
UK,11574,2,"[38, 64]",random
UK,22342,0,[],random
UK,27518,1,[43],random
UK,17027,0,[],random
UK,12413,1,[10],random
UK,28989,2,"[24, 59]",random
UK,26496,1,[1],random
UK,30060,2,"[55, 78]",random
UK,28598,0,[],random
UK,8726,2,"[77, 79]",random
UK,6507,2,"[40, 54]",random
UK,33343,1,[54],random
UK,3988,2,"[13, 60]",random
UK,18623,2,"[26, 59]",random
UK,7707,1,[6],random
UK,20448,1,[18],random
UK,26701,2,"[41, 74]",random
UK,6730,0,[],random
UK,34722,2,"[29, 40]",random
UK,9555,2,"[28, 66]",random
UK,26540,1,[34],random
UK,15933,0,[],random
UK,21384,2,"[29, 85]",random
UK,15852,2,"[24, 63]",random
UK,30852,1,[9],random
UK,29423,1,[77],random
UK,13681,1,[13],random
UK,26912,1,[52],random
UK,23188,0,[],random
UK,23796,2,"[36, 65]",random
UK,6793,1,[70],random
UK,1135,1,[8],random
UK,24387,0,[],random
UK,18905,0,[],random
UK,31753,1,[53],random
UK,8710,1,[61],random
UK,18215,2,"[21, 40]",random
UK,32361,1,[11],random
UK,4178,2,"[60, 72]",random
UK,6515,2,"[44, 67]",random
UK,34078,1,[51],random
UK,33281,2,"[11, 53]",random
UK,16176,1,[26],random
UK,9238,1,[51],random
UK,14218,0,[],random
UK,30540,1,[11],random
UK,23138,1,[49],random
UK,11037,1,[11],random
UK,23844,0,[],random
UK,17075,0,[],random
UK,16925,0,[],random
UK,15174,1,[31],random
UK,986,1,[77],random
UK,34961,1,[23],random
UK,28029,2,"[61, 69]",random
UK,26868,2,"[46, 67]",random
UK,150,0,[],random
UK,7624,1,[46],random
UK,791,2,"[10, 37]",random
UK,16727,1,[3],random
UK,31552,2,"[30, 54]",random
UK,33067,2,"[53, 72]",random
UK,9726,1,[2],random
UK,23858,1,[35],random
UK,12097,0,[],random
UK,14201,0,[],random
UK,10416,0,[],random
UK,4008,0,[],random
UK,22505,2,"[1, 62]",random
UK,6720,2,"[33, 67]",random
UK,19208,1,[54],random
UK,23305,0,[],random
UK,9689,1,[52],random
UK,6013,1,[20],random
UK,23636,2,"[38, 77]",random
UK,29140,0,[],random
UK,11478,1,[60],random
UK,34282,1,[80],random
UK,18294,0,[],random
UK,2242,1,[16],random
UK,5841,1,[44],random
UK,2506,2,"[17, 81]",random
UK,17365,0,[],random
UK,13460,2,"[4, 58]",random
UK,774,1,[66],random
UK,8270,0,[],random
UK,25988,2,"[16, 57]",random
UK,16903,1,[74],random
UK,554,2,"[50, 65]",random
UK,20408,0,[],random
UK,11499,1,[71],random
UK,6218,1,[56],random
UK,28384,2,"[4, 53]",random
UK,29573,1,[58],random
UK,19278,1,[36],random
UK,33551,1,[55],random
UK,21387,0,[],random
UK,580,1,[47],random
UK,19137,2,"[63, 68]",random
UK,8268,0,[],random
UK,30456,2,"[47, 55]",random
UK,18274,2,"[3, 67]",random
UK,26125,0,[],random
UK,1926,0,[],random
UK,9711,2,"[21, 46]",random
UK,25666,1,[84],random
UK,34155,2,"[50, 71]",random
UK,15558,1,[45],random
UK,13479,2,"[8, 36]",random
UK,17227,0,[],random
UK,12680,1,[0],random
UK,30156,2,"[2, 72]",random
UK,6452,1,[57],random
UK,14547,2,"[2, 71]",random
UK,31209,1,[16],random
UK,32433,1,[0],random
UK,14214,2,"[78, 82]",random
UK,11598,1,[26],random
UK,33968,1,[62],random
UK,15059,0,[],random
UK,16352,2,"[44, 45]",random
UK,26673,2,"[42, 45]",random
UK,30299,2,"[13, 45]",random
UK,31474,0,[],random
UK,3579,2,"[1, 15]",random
UK,25550,2,"[5, 33]",random
UK,17792,1,[13],random
UK,17965,2,"[67, 75]",random
UK,10418,1,[56],random
UK,3437,1,[14],random
UK,19875,2,"[29, 76]",random
UK,30995,2,"[29, 35]",random
UK,13961,1,[26],random
UK,29444,0,[],random
UK,20674,2,"[10, 65]",random
UK,34913,1,[59],random
UK,26357,2,"[50, 65]",random
UK,12866,0,[],random
UK,31523,2,"[22, 36]",random
UK,1743,0,[],random
UK,31978,2,"[0, 4]",random
UK,32568,2,"[42, 68]",random
UK,28628,0,[],random
UK,6959,1,[4],random
UK,41,2,"[67, 78]",random
UK,21863,1,[14],random
UK,17822,0,[],random
UK,16551,1,[63],random
UK,21077,0,[],random
UK,26568,0,[],random
UK,7412,2,"[17, 26]",random
UK,17164,1,[13],random
UK,31902,2,"[61, 63]",random
UK,14669,2,"[7, 36]",random
UK,21767,2,"[32, 45]",random
UK,28955,2,"[48, 82]",random
UK,12849,1,[36],random
UK,5197,2,"[19, 56]",random
UK,10173,2,"[10, 72]",random
UK,28370,0,[],random
UK,18234,2,"[12, 31]",random
UK,32482,0,[],random
UK,3180,2,"[49, 59]",random
UK,2440,0,[],random
UK,20304,0,[],random
UK,28411,1,[66],random
UK,5872,1,[68],random
UK,7832,1,[55],random
UK,1477,0,[],random
UK,18264,2,"[8, 69]",random
UK,18996,1,[61],random
UK,31862,1,[84],random
UK,13231,0,[],random
UK,13244,2,"[25, 33]",random
UK,13760,0,[],random
UK,4175,2,"[7, 35]",random
UK,30159,2,"[27, 54]",random
UK,20069,0,[],random
UK,575,2,"[29, 72]",random
UK,17581,0,[],random
UK,11442,2,"[41, 63]",random
UK,23966,2,"[59, 75]",random
UK,26593,1,[12],random
UK,13941,2,"[4, 59]",random
UK,3773,2,"[1, 79]",random
UK,30410,1,[33],random
UK,19194,1,[18],random
UK,34787,1,[83],random
UK,13817,1,[53],random
UK,7192,1,[74],random
UK,11232,2,"[55, 76]",random
UK,30532,1,[82],random
UK,1029,2,"[6, 36]",random
UK,25014,0,[],random
UK,5283,0,[],random
UK,19649,1,[61],random
UK,14228,1,[41],random
UK,28341,0,[],random
UK,24737,2,"[57, 80]",random
UK,84,2,"[25, 40]",random
UK,3557,1,[32],random
UK,34116,0,[],random
UK,30133,0,[],random
UK,26564,0,[],random
UK,24728,1,[66],random
UK,19513,2,"[15, 27]",random
UK,26388,0,[],random
UK,29848,0,[],random
UK,28740,1,[66],random
UK,1209,1,[70],random
UK,26119,1,[84],random
UK,23692,1,[82],random
UK,24953,0,[],random
UK,19533,1,[40],random
UK,25302,2,"[7, 54]",random
UK,12532,0,[],random
UK,2580,1,[85],random
UK,9415,0,[],random
UK,17918,1,[27],random
UK,27182,2,"[3, 44]",random
UK,15981,2,"[14, 26]",random
UK,27871,1,[51],random
UK,4191,1,[31],random
UK,14310,1,[36],random
UK,25901,0,[],random
UK,28560,0,[],random
UK,28659,1,[60],random
UK,6495,1,[82],random
UK,27314,1,[58],random
UK,23165,1,[53],random
UK,16054,2,"[2, 74]",random
UK,12567,1,[27],random
UK,11850,0,[],random
UK,16375,0,[],random
UK,25917,1,[47],random
UK,32430,2,"[49, 57]",random
