seed,model,train_grid,mean_nrmse,std_nrmse,mmd_range,g_score
0,arma_gnn,IEEE24,0.11377814412117,0.0,0.0,0.11377814412117
0,arma_gnn,IEEE39,0.1465096175670623,0.0,0.0,0.1465096175670623
0,arma_gnn,IEEE118,1.4763436317443848,0.0,0.0,1.4763436317443848
0,arma_gnn,UK,0.1023145169019699,0.0,0.0,0.1023145169019699
0,gat,IEEE24,0.132839486002922,0.0,0.0,0.132839486002922
0,gat,IEEE39,0.1519034206867218,0.0,0.0,0.1519034206867218
0,gat,IEEE118,1.331348180770874,0.0,0.0,1.331348180770874
0,gat,UK,0.1289893090724945,0.0,0.0,0.1289893090724945
0,gcn,IEEE24,0.1118854880332946,0.0,0.0,0.1118854880332946
0,gcn,IEEE39,0.1455085277557373,0.0,0.0,0.1455085277557373
0,gcn,IEEE118,5.197780609130859,0.0,0.0,5.197780609130859
0,gcn,UK,1.0656968355178833,0.0,0.0,1.0656968355178833
0,gin,IEEE24,0.1372322887182235,0.0,0.0,0.1372322887182235
0,gin,IEEE39,0.2336650639772415,0.0,0.0,0.2336650639772415
0,gin,IEEE118,29.195009231567383,0.0,0.0,29.195009231567383
0,gin,UK,0.1341015100479126,0.0,0.0,0.1341015100479126
0,nnconv,IEEE24,0.1470423489809036,0.0,0.0,0.1470423489809036
0,nnconv,IEEE39,0.1465831249952316,0.0,0.0,0.1465831249952316
0,nnconv,IEEE118,2.0226612091064453,0.0,0.0,2.0226612091064453
0,nnconv,UK,0.2611254751682281,0.0,0.0,0.2611254751682281
0,transformer,IEEE24,0.1146821454167366,0.0,0.0,0.1146821454167366
0,transformer,IEEE39,0.1482859402894973,0.0,0.0,0.1482859402894973
0,transformer,IEEE118,1.301386833190918,0.0,0.0,1.301386833190918
0,transformer,UK,0.1028092056512832,0.0,0.0,0.1028092056512832
100,arma_gnn,IEEE24,0.1109159886837005,0.0,0.0,0.1109159886837005
100,arma_gnn,IEEE39,0.1472765207290649,0.0,0.0,0.1472765207290649
100,arma_gnn,IEEE118,2.8213870525360107,0.0,0.0,2.8213870525360107
100,arma_gnn,UK,0.1247813254594802,0.0,0.0,0.1247813254594802
100,gat,IEEE24,0.135115161538124,0.0,0.0,0.135115161538124
100,gat,IEEE39,0.159195601940155,0.0,0.0,0.159195601940155
100,gat,IEEE118,0.267640084028244,0.0,0.0,0.267640084028244
100,gat,UK,0.1267694383859634,0.0,0.0,0.1267694383859634
100,gcn,IEEE24,0.1189718469977378,0.0,0.0,0.1189718469977378
100,gcn,IEEE39,0.1440264135599136,0.0,0.0,0.1440264135599136
100,gcn,IEEE118,14.845977783203123,0.0,0.0,14.845977783203123
100,gcn,UK,1.172798991203308,0.0,0.0,1.172798991203308
100,gin,IEEE24,0.1496515125036239,0.0,0.0,0.1496515125036239
100,gin,IEEE39,0.1753807216882705,0.0,0.0,0.1753807216882705
100,gin,IEEE118,10.297819137573242,0.0,0.0,10.297819137573242
100,gin,UK,0.1312631070613861,0.0,0.0,0.1312631070613861
100,nnconv,IEEE24,0.148477703332901,0.0,0.0,0.148477703332901
100,nnconv,IEEE39,0.1493406593799591,0.0,0.0,0.1493406593799591
100,nnconv,IEEE118,2.5097599029541016,0.0,0.0,2.5097599029541016
100,nnconv,UK,0.2310133576393127,0.0,0.0,0.2310133576393127
100,transformer,IEEE24,0.1267940104007721,0.0,0.0,0.1267940104007721
100,transformer,IEEE39,0.1461451202630996,0.0,0.0,0.1461451202630996
100,transformer,IEEE118,2.6225948333740234,0.0,0.0,2.6225948333740234
100,transformer,UK,0.152037501335144,0.0,0.0,0.152037501335144
300,arma_gnn,IEEE24,0.1138298586010932,0.0,0.0,0.1138298586010932
300,arma_gnn,IEEE39,0.1460017710924148,0.0,0.0,0.1460017710924148
300,arma_gnn,IEEE118,1.6815344095230105,0.0,0.0,1.6815344095230105
300,arma_gnn,UK,0.122700847685337,0.0,0.0,0.122700847685337
300,gat,IEEE24,0.1378130316734314,0.0,0.0,0.1378130316734314
300,gat,IEEE39,0.2347742766141891,0.0,0.0,0.2347742766141891
300,gat,IEEE118,1.0601269006729126,0.0,0.0,1.0601269006729126
300,gat,UK,0.1382855623960495,0.0,0.0,0.1382855623960495
300,gcn,IEEE24,0.1098857894539833,0.0,0.0,0.1098857894539833
300,gcn,IEEE39,0.1140712723135948,0.0,0.0,0.1140712723135948
300,gcn,IEEE118,2.8387672901153564,0.0,0.0,2.8387672901153564
300,gcn,UK,0.1323407739400863,0.0,0.0,0.1323407739400863
300,gin,IEEE24,0.1422972530126571,0.0,0.0,0.1422972530126571
300,gin,IEEE39,0.1733686774969101,0.0,0.0,0.1733686774969101
