seed,model,n_points,mean_nrmse,std_nrmse,mmd_range,g_score
0,arma_gnn,4,0.127975920215249,0.024694393237589696,0.3528372180234439,0.14912659413449486
0,gat,4,0.14385120756924147,0.027276281492686755,0.3528372180234439,0.16721326105364154
0,gcn,4,0.2226820569485426,0.1000771917172876,0.3528372180234439,0.30839787221077664
0,gin,4,0.14581695012748236,0.028383864410597065,0.3528372180234439,0.17012764506704434
0,nnconv,4,1.7531775757670403,2.7978357917298093,0.3528372180234439,4.149515559904857
0,transformer,4,0.22029848210513592,0.10675322610554974,0.3528372180234439,0.31173230084537673
100,arma_gnn,4,0.1349290162324905,0.019866092967179935,0.3528372180234439,0.15194426541701583
100,gat,4,0.177955973893404,0.07546177213019215,0.3528372180234439,0.2425887559317414
100,gcn,4,0.23259781114757058,0.1552509449249075,0.3528372180234439,0.36556978094527903
100,gin,4,0.14851736463606352,0.02656643924830375,0.3528372180234439,0.17127144036208736
100,nnconv,4,1.4294571448117495,2.2219265594200444,0.3528372180234439,3.3325305946695587
100,transformer,4,0.14000186510384077,0.022000871129207126,0.3528372180234439,0.15884554539661597
300,arma_gnn,4,0.13555938936769962,0.01996924250740587,0.3528372180234439,0.15266298582479199
300,gat,4,0.14476230740547175,0.029514743407852553,0.3528372180234439,0.17004159682245
300,gcn,4,0.18972695991396896,0.1123255669011489,0.3528372180234439,0.28593347187249163
300,gin,4,0.21761995553970337,0.1402124661299232,0.3528372180234439,0.33771151324653953
300,nnconv,4,1.6675783209502697,2.638236722874876,0.3528372180234439,3.9272201801544475
300,transformer,4,0.13949059136211872,0.022268100260589625,0.3528372180234439,0.15856315260633963
700,arma_gnn,4,0.13180870376527304,0.020987928118935382,0.3528372180234439,0.14978480140060416
700,gat,4,0.1848503742367029,0.07365325955203347,0.3528372180234439,0.24793417066314588
700,gcn,4,0.2945972438901662,0.21361810142889096,0.3528372180234439,0.4775605085916177
700,gin,4,0.16943800076842305,0.06746477328765756,0.3528372180234439,0.22722137722616215
700,transformer,4,0.12948502041399473,0.02182072880455661,0.3528372180234439,0.1481744093447154
1000,arma_gnn,4,0.13024889118969435,0.019497877602889464,0.3528372180234439,0.14694876501645185
1000,gat,4,0.13995177671313283,0.021233610464730532,0.3528372180234439,0.15813830054252484
1000,gcn,4,0.21432670764625072,0.10953402475668962,0.3528372180234439,0.3081422721106914
1000,gin,4,0.14899352192878718,0.03253649989177701,0.3528372180234439,0.1768609367327689
1000,transformer,4,0.14121606387197969,0.02270841819599213,0.3528372180234439,0.16066575611038586
