model,held_out_grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gcn,IEEE24,0,B,2,128,0.001,0.3239971697330475,61607.875,45.43736267089844,0.213030532002449,0.2206820547580719,2.418529987335205,0.3565489947795868,214386.34375,30925.9765625,0.1285416334867477,1119.0628662109375,86.77410125732422,71.2293701171875,0.1868603527545929,23.55913543701172
gcn,IEEE24,100,B,2,128,0.001,0.4981276094913482,145624.6875,66.78880310058594,0.3343056738376617,0.285771906375885,5.727604866027832,0.5516327023506165,527959.875,51859.51171875,0.7209197878837585,2678.650390625,145.44508361816406,89.79351043701172,0.358183354139328,31.55845069885254
gcn,IEEE24,300,B,2,128,0.001,0.3817301988601684,85519.8359375,60.5868034362793,0.2215275019407272,0.4151178002357483,2.89166522026062,0.3053364157676697,231829.515625,109428.921875,0.183754026889801,820.6788330078125,96.4945831298828,123.06725311279295,0.2065536826848983,22.57880973815918
gcn,IEEE24,700,B,2,128,0.001,0.6574171781539917,253650.609375,84.343994140625,0.4429649114608764,0.3667678534984588,4.25824785232544,0.5042811632156372,926941.0,85422.4296875,0.3984765410423279,2238.523193359375,193.28512573242188,106.38265228271484,0.2937288582324981,37.41448211669922
gcn,IEEE24,1000,B,2,128,0.001,0.4012243151664734,94477.4765625,58.10417175292969,0.2599050998687744,0.2997122704982757,3.1616220474243164,0.4465494453907013,319111.90625,57042.48828125,0.2196649461984634,1755.3154296875,112.98177337646484,89.24735260009766,0.2934093475341797,29.894153594970703
gcn,IEEE39,0,B,2,128,0.001,0.3193487823009491,165616.703125,72.13762664794922,0.2496944516897201,0.1627430915832519,35.582889556884766,0.9833133816719056,538015.4375,109947.5390625,97.7379150390625,14406.162109375,116.38793182373048,103.96670532226562,3.247929096221924,64.94794464111328
gcn,IEEE39,100,B,2,128,0.001,0.1674101948738098,45513.203125,56.35663986206055,0.0493813566863536,0.1742153167724609,38.00295639038086,1.5305696725845337,21042.7734375,125994.9140625,111.48474884033205,34903.62890625,19.9954833984375,98.71138763427734,4.024487018585205,102.69515991210938
gcn,IEEE39,300,B,2,128,0.001,0.1261750906705856,25853.587890625,46.702335357666016,0.0304741635918617,0.1352728605270385,21.98294258117676,1.1410950422286987,8013.83837890625,75962.9296875,37.30373764038086,19400.28125,11.788780212402344,97.71277618408205,1.809503197669983,75.498291015625
gcn,IEEE39,700,B,2,128,0.001,0.2001943886280059,65084.47265625,56.878604888916016,0.1415008604526519,0.0900552198290824,32.60676956176758,1.900394916534424,172780.65625,33666.5078125,82.07221221923828,53808.6484375,65.47834014892578,62.163124084472656,3.533488273620605,96.3394546508789
gcn,IEEE39,1000,B,2,128,0.001,0.1550847738981247,39058.171875,48.684120178222656,0.1062525883316993,0.0880119651556015,17.189682006835938,1.3369629383087158,97421.765625,32156.130859375,22.80952835083008,26631.96484375,48.53452682495117,64.54753875732422,2.006573438644409,79.64784240722656
gcn,IEEE118,0,B,2,128,0.001,0.1030251607298851,60985.56640625,52.11590194702149,0.0695383921265602,0.0661166086792945,0.6157990097999573,0.6348616480827332,185972.0625,44945.265625,0.0229590311646461,13024.90625,39.27421951293945,60.50395584106445,0.0912119224667549,108.5941925048828
gcn,IEEE118,100,B,2,128,0.001,0.104253776371479,62448.796875,56.64083862304688,0.0695100873708725,0.0674330070614814,0.4662576615810394,0.7300115823745728,185820.6875,46752.82421875,0.0131621723994612,17221.6953125,39.25750350952149,62.58778762817383,0.0680490806698799,124.65003204345705
gcn,IEEE118,300,B,2,128,0.001,0.0998675972223281,57304.62890625,50.79481887817383,0.0662792176008224,0.0697019323706626,0.9598598480224608,0.5650662779808044,168948.03125,49951.953125,0.0557816363871097,10318.4677734375,37.40743637084961,70.7959976196289,0.146339476108551,94.82950592041016
gcn,IEEE118,700,B,2,128,0.001,0.1058144196867942,64332.46484375,59.61723327636719,0.0698389783501625,0.0729012414813041,0.8821355700492859,0.6836509108543396,187583.3125,54642.765625,0.0471136011183261,15103.7626953125,39.4472770690918,81.67337036132812,0.0999054387211799,117.24838256835938
gcn,IEEE118,1000,B,2,128,0.001,0.1240177229046821,88370.6484375,57.603057861328125,0.0887934267520904,0.0589409805834293,1.1760261058807373,0.6708178520202637,303221.5625,35718.8515625,0.0837354734539985,14542.0498046875,50.33642578125,64.24047088623047,0.1856066137552261,115.64973449707033
gcn,UK,0,B,2,128,0.001,0.1443571150302887,5644698.5,469.9478759765625,0.0902505069971084,0.1037737876176834,37.76104736328125,1.5626672506332395,19472732.0,3022332.0,2.254457950592041,83726.6875,758.3473510742188,904.2664794921876,0.4196766018867492,216.758056640625
gcn,UK,100,B,2,128,0.001,0.1605996638536453,6986403.0,726.4630737304688,0.0898791253566742,0.1671511679887771,223.54058837890625,4.804557800292969,19312802.0,7841256.0,79.00723266601562,791476.0625,752.7512817382812,1591.9129638671875,2.315108060836792,558.873046875
gcn,UK,300,B,2,128,0.001,0.1511349529027938,6187199.5,567.1978759765625,0.0900461226701736,0.1373984664678573,52.5223388671875,1.386673092842102,19384634.0,5298227.0,4.361563205718994,65929.3984375,753.7516479492188,1342.5074462890625,0.6566594839096069,171.8756866455078
gcn,UK,700,B,2,128,0.001,0.2149629890918731,12516753.0,1049.69482421875,0.0912966504693031,0.322876513004303,406.2130737304688,5.072714328765869,19926788.0,29257672.0,260.8926696777344,882290.75,782.6272583007812,2948.62890625,4.489670276641846,463.03363037109375
gcn,UK,1000,B,2,128,0.001,0.1769800186157226,8484238.0,879.8128662109375,0.0887179300189018,0.2210825681686401,297.2999267578125,6.395177364349365,18817000.0,13717527.0,139.7473907470703,1402284.375,740.3584594726562,2057.349365234375,3.1713149547576904,718.3724365234375
gat,IEEE24,0,B,2,128,0.001,0.1785073280334472,18701.046875,32.936405181884766,0.1019195467233657,0.1980000436305999,7.548211574554443,0.3081887364387512,49071.3984375,24895.44921875,1.2520709037780762,836.0833129882812,43.25907897949219,66.3373794555664,0.6081903576850891,21.540987014770508
gat,IEEE24,100,B,2,128,0.001,0.1523090451955795,13614.611328125,28.83136749267578,0.0984492674469947,0.1035034209489822,3.624450445175171,0.4607311189174652,45786.6015625,6802.97314453125,0.2886856496334076,1868.5775146484373,41.77690505981445,41.88759231567383,0.2957370281219482,31.365234375
gat,IEEE24,300,B,2,128,0.001,0.1855942159891128,20215.4140625,38.644378662109375,0.1061483696103096,0.2004960477352142,7.638309478759766,0.4890460669994354,53227.9921875,25527.072265625,1.282139778137207,2105.3076171875,45.17742919921875,73.22515106201172,0.6878328919410706,35.48710250854492
gat,IEEE24,700,B,2,128,0.001,0.1894953846931457,21074.201171875,41.7830696105957,0.1018547639250755,0.2298736423254013,4.902444839477539,0.4435015618801117,49009.03125,33555.80859375,0.5281609296798706,1731.435791015625,43.20091247558594,91.02159118652344,0.4312829077243805,32.478492736816406
gat,IEEE24,1000,B,2,128,0.001,0.1629950404167175,15592.025390625,32.891902923583984,0.1004222854971885,0.146512821316719,13.150961875915527,0.3523213565349579,47640.20703125,13631.404296875,3.80063271522522,1092.682373046875,42.53302764892578,59.52260971069336,1.123536229133606,28.388431549072266
gat,IEEE39,0,B,2,128,0.001,0.1380561590194702,30951.748046875,43.03944778442383,0.0894636586308479,0.1105343624949455,9.581380844116213,0.519011378288269,69066.9453125,50719.5,7.086582660675049,4013.453369140625,40.39335632324219,78.4885025024414,1.7507652044296265,51.52516555786133
gat,IEEE39,100,B,2,128,0.001,0.304094523191452,150172.640625,55.37309265136719,0.2586654722690582,0.0635417178273201,10.79758644104004,0.6630926728248596,577369.5625,16760.935546875,8.999824523925781,6551.0791015625,112.54337310791016,48.4504280090332,1.6743552684783936,58.82422256469727
gat,IEEE39,300,B,2,128,0.001,0.1361594796180725,30107.130859375,43.02399063110352,0.0903997495770454,0.1018056273460388,11.949365615844728,0.679157555103302,70519.859375,43025.3046875,11.022253036499023,6872.35302734375,40.84777069091797,65.28050231933594,2.0947484970092773,63.87292098999024
gat,IEEE39,700,B,2,128,0.001,0.1384740024805069,31139.390625,46.87615203857422,0.0900532007217407,0.1074785888195037,33.16023635864258,0.6624577045440674,69980.21875,47953.9375,84.8820571899414,6538.53955078125,40.67194366455078,75.64555358886719,5.700801849365234,65.48633575439453
