model,num_layers,hidden,learning_rate,seed,grid,val_loss,n_params,seconds
arma_gnn,2,32,0.001,0,IEEE24,0.026925213932991028,24677,47.7
arma_gnn,2,32,0.001,0,IEEE39,0.4781459277868271,24677,61.8
arma_gnn,2,32,0.001,0,IEEE118,0.6879503440856933,24677,211.7
arma_gnn,2,32,0.001,0,UK,141.437529296875,24677,25.6
arma_gnn,2,64,0.001,0,IEEE24,inf,96357,21.2
arma_gnn,2,64,0.001,0,IEEE39,inf,96357,28.4
arma_gnn,2,64,0.001,0,IEEE118,inf,96357,106.6
arma_gnn,2,64,0.001,0,UK,inf,96357,35.7
arma_gnn,2,128,0.001,0,IEEE24,0.009293689141049982,381029,189.9
arma_gnn,2,128,0.001,0,IEEE39,0.34276839286088945,381029,257.8
arma_gnn,2,128,0.001,0,IEEE118,0.06914840795099736,381029,970.4
arma_gnn,2,128,0.001,0,UK,0.06388156354427338,381029,251.2
arma_gnn,3,32,0.001,0,IEEE24,0.023894160389900207,35077,61.7
arma_gnn,3,32,0.001,0,IEEE39,0.31220571339130404,35077,79.5
arma_gnn,3,32,0.001,0,IEEE118,0.31227090418338777,35077,257.1
arma_gnn,3,32,0.001,0,UK,0.07435371652245522,35077,106.2
arma_gnn,3,64,0.001,0,IEEE24,inf,137637,28.1
arma_gnn,3,64,0.001,0,IEEE39,inf,137637,38.4
arma_gnn,3,64,0.001,0,IEEE118,inf,137637,132.5
arma_gnn,3,64,0.001,0,UK,inf,137637,48.4
arma_gnn,3,128,0.001,0,IEEE24,0.008542465502396226,545509,248.6
arma_gnn,3,128,0.001,0,IEEE39,0.25151894986629486,545509,341.3
arma_gnn,3,128,0.001,0,IEEE118,0.051264680325984954,545509,1373.3
arma_gnn,3,128,0.001,0,UK,0.015861304998397826,545509,364.5
arma_gnn,8,32,0.001,0,IEEE24,0.02601550377905369,87077,130.5
arma_gnn,8,32,0.001,0,IEEE39,0.022720829164609314,87077,170.7
arma_gnn,8,32,0.001,0,IEEE118,0.13071285486221312,87077,792.8
arma_gnn,8,32,0.001,0,UK,0.11898737102746963,87077,333.4
arma_gnn,8,64,0.001,0,IEEE24,inf,344037,84.2
arma_gnn,8,64,0.001,0,IEEE39,inf,344037,130.0
arma_gnn,8,64,0.001,0,IEEE118,inf,344037,449.8
arma_gnn,8,64,0.001,0,UK,inf,344037,164.1
arma_gnn,8,128,0.001,0,IEEE24,0.008416603840887547,1367909,639.0
arma_gnn,8,128,0.001,0,IEEE39,0.0008932559099048376,1367909,827.9
arma_gnn,8,128,0.001,0,IEEE118,0.0711185298115015,1367909,2680.8
arma_gnn,8,128,0.001,0,UK,0.025817898586392402,1367909,732.1
arma_gnn,8,128,0.0003,0,IEEE24,0.016072848718613385,1367909,630.3
arma_gnn,8,128,0.0003,0,IEEE39,0.005253233780385926,1367909,869.5
arma_gnn,8,128,0.0003,0,IEEE118,0.18548270404338837,1367909,3108.2
arma_gnn,8,128,0.0003,0,UK,0.027622388266026972,1367909,1097.9
