model,num_layers,hidden,learning_rate,seed,grid,val_loss,n_params,seconds
arma_gnn,8,128,0.001,0,IEEE118,0.0376013010181486,1367909,4804.9
arma_gnn,8,128,0.001,100,IEEE118,0.038344230800867,1367909,3412.6
arma_gnn,3,128,0.001,0,IEEE118,0.0491396205127239,545509,1763.1
arma_gnn,3,128,0.001,100,IEEE118,0.0496176370978355,545509,1747.3
arma_gnn,2,128,0.001,0,IEEE118,0.0687724974751472,381029,864.6
arma_gnn,2,128,0.001,100,IEEE118,0.0664183443784713,381029,794.0
arma_gnn,8,64,0.001,0,IEEE118,0.0464958330243825,344037,2433.6
arma_gnn,8,64,0.001,100,IEEE118,0.0519320976734161,344037,1794.9
arma_gnn,8,32,0.001,0,IEEE118,0.0979559278488159,87077,808.2
arma_gnn,8,32,0.001,100,IEEE118,0.2206950110197067,87077,747.5
arma_gnn,3,64,0.001,0,IEEE118,0.0712190068513154,137637,607.2
arma_gnn,3,64,0.001,100,IEEE118,0.0936197239160537,137637,601.6
arma_gnn,3,32,0.001,0,IEEE118,0.2718894511461258,35077,234.0
arma_gnn,3,32,0.001,100,IEEE118,0.3256216597557068,35077,230.1
arma_gnn,2,64,0.001,0,IEEE118,0.116127872467041,96357,332.3
arma_gnn,2,64,0.001,100,IEEE118,0.1407750788331031,96357,331.4
arma_gnn,2,32,0.001,0,IEEE118,0.7746433925628662,24677,167.8
arma_gnn,2,32,0.001,100,IEEE118,0.5178510642051697,24677,243.4
arma_gnn,8,128,0.001,0,IEEE24,0.0063405923126265,1367909,1016.0
arma_gnn,8,128,0.001,100,IEEE24,0.006287759526167,1367909,1172.7
arma_gnn,8,64,0.001,0,IEEE24,0.0065395996300503,344037,448.1
arma_gnn,8,64,0.001,100,IEEE24,0.0121651599090546,344037,359.8
arma_gnn,8,32,0.001,0,IEEE24,0.0277379535138607,87077,185.4
arma_gnn,8,32,0.001,100,IEEE24,0.0204572594165802,87077,164.0
arma_gnn,3,128,0.001,0,IEEE24,0.0065596805652603,545509,354.9
arma_gnn,3,128,0.001,100,IEEE24,0.0048985996842384,545509,328.4
arma_gnn,3,64,0.001,0,IEEE24,0.0112973487377166,137637,149.0
arma_gnn,3,64,0.001,100,IEEE24,0.0095426270924508,137637,139.4
arma_gnn,3,32,0.001,0,IEEE24,0.0196442402899265,35077,77.4
arma_gnn,3,32,0.001,100,IEEE24,0.0398656867444515,35077,81.0
arma_gnn,2,128,0.001,0,IEEE24,0.0073578983731567,381029,228.6
arma_gnn,2,128,0.001,100,IEEE24,0.0070897779520601,381029,227.3
