model,num_layers,hidden,learning_rate,seed,grid,val_loss,n_params,seconds
gat,2,32,0.001,0,IEEE24,0.2449285995960235,9508,48.7
gat,2,32,0.001,0,IEEE39,0.559699856042862,9508,66.8
gat,2,32,0.001,0,IEEE118,0.5405541181564331,9508,153.6
gat,2,32,0.001,0,UK,79.85489624023438,9508,72.5
gat,2,64,0.001,0,IEEE24,0.0530358186364173,32996,44.2
gat,2,64,0.001,0,IEEE39,0.4681591004133224,32996,97.2
gat,2,64,0.001,0,IEEE118,0.6402094578742981,32996,273.4
gat,2,64,0.001,0,UK,2.8503408098220824,32996,87.5
gat,2,128,0.001,0,IEEE24,0.0145817437022924,122980,140.0
gat,2,128,0.001,0,IEEE39,0.3683538061380386,122980,214.1
gat,2,128,0.001,0,IEEE118,0.0775081577897071,122980,515.1
gat,2,128,0.001,0,UK,0.0399494352936744,122980,154.4
gat,3,32,0.001,0,IEEE24,0.4428090679645538,12196,67.2
gat,3,32,0.001,0,IEEE39,0.7224282109737397,12196,93.7
gat,3,32,0.001,0,IEEE118,0.9319407486915589,12196,137.3
gat,3,32,0.001,0,UK,1.806943702697754,12196,94.8
gat,3,64,0.001,0,IEEE24,0.0374760971963405,42468,94.5
gat,3,64,0.001,0,IEEE39,0.2970598566532135,42468,138.0
gat,3,64,0.001,0,IEEE118,0.1150310303270816,42468,334.6
gat,3,64,0.001,0,UK,0.3319849878549575,42468,123.3
gat,3,128,0.001,0,IEEE24,0.014977732822299,158308,194.9
gat,3,128,0.001,0,IEEE39,0.2649992728233337,158308,290.0
gat,3,128,0.001,0,IEEE118,0.470541181564331,158308,721.0
gat,3,128,0.001,0,UK,0.0392916379123926,158308,213.8
gat,8,32,0.001,0,IEEE24,0.1122718235850334,25636,156.8
gat,8,32,0.001,0,IEEE39,0.459642099738121,25636,200.0
gat,8,32,0.001,0,IEEE118,0.3303619241714478,25636,552.4
gat,8,32,0.001,0,UK,10.834357299804688,25636,244.4
gat,8,64,0.001,0,IEEE24,0.0635774332284927,89828,218.7
gat,8,64,0.001,0,IEEE39,0.0667400524951517,89828,437.7
gat,8,64,0.001,0,IEEE118,0.7006024193763732,89828,467.1
gat,8,64,0.001,0,UK,60.86028076171875,89828,227.1
gat,8,128,0.001,0,IEEE24,0.0122513829171657,334948,556.2
gat,8,128,0.001,0,IEEE39,0.0076200765464454,334948,708.1
gat,8,128,0.001,0,IEEE118,0.7964199829101563,334948,1424.1
gat,8,128,0.001,0,UK,88.40107818603515,334948,382.7
gat,2,128,0.0003,0,IEEE24,0.0229738092422485,122980,199.1
gat,2,128,0.0003,0,IEEE39,0.4028748804330825,122980,229.7
gat,2,128,0.0003,0,IEEE118,6.0110550880432125,122980,267.6
gat,2,128,0.0003,0,UK,46.61656829833984,122980,173.2
gat,2,128,0.001,100,IEEE24,0.0183629293739795,122980,14095.0
gat,2,128,0.001,100,IEEE118,0.1521397534012794,122980,535.9
gat,2,128,0.0003,100,IEEE118,0.4795921456813812,122980,440.4
gat,2,128,0.0003,100,IEEE24,0.0721268424391746,122980,138.8
gat,2,128,0.001,100,IEEE39,0.4014536696672439,122980,216.4
gat,2,128,0.0003,100,IEEE39,1.010153076648712,122980,185.8
gat,2,128,0.001,100,UK,87.8588656616211,122980,57.9
gat,2,128,0.0003,100,UK,87.18460632324219,122980,181.4
