num_layers,hidden,learning_rate,stage,seeds,mean_val_loss,stable,model,selected,n_params
2,128,0.001,1,[0],0.12509828573092813,True,gat,False,122980
3,64,0.001,1,[0],0.19538799300789828,True,gat,False,42468
3,128,0.001,1,[0],0.19745245628058908,True,gat,False,158308
3,32,0.001,1,[0],0.9760304325819016,True,gat,False,12196
2,64,0.001,1,[0],1.00293629668653,True,gat,False,32996
8,32,0.001,1,[0],2.9341582868248226,True,gat,False,25636
8,64,0.001,1,[0],15.422800166704691,True,gat,False,89828
2,32,0.001,1,[0],20.300019703507424,True,gat,False,9508
8,128,0.001,1,[0],22.30434240710223,True,gat,False,334948
2,128,0.001,1-confirm,"[0, 100]",11.116401894623413,True,gat,True,122980
2,128,0.0003,2,"[0, 100]",17.72499380800873,True,gat,False,122980
