num_layers,hidden,learning_rate,stage,seeds,mean_val_loss,stable,model,selected,n_params
2,128,0.001,1,[0],0.3007474466413259,True,gcn,False,85093
3,128,0.001,1,[0],1.0157774679455904,True,gcn,False,101605
2,32,0.001,1,[0],1.2776968809962272,True,gcn,False,5989
8,64,0.001,1,[0],3.790359715819359,True,gcn,False,47077
3,64,0.001,1,[0],5.7244736766815185,True,gcn,False,26277
8,128,0.001,1,[0],13.70934253724292,True,gcn,False,184165
3,32,0.001,1,[0],38.78529231965542,True,gcn,False,7045
8,32,0.001,1,[0],40.45972393333912,True,gcn,False,12325
2,64,0.001,1,[0],46.13264621794224,True,gcn,False,22117
2,128,0.001,1-confirm,"[0, 100]",0.8259756186231971,True,gcn,True,85093
2,128,0.0003,2,"[0, 100]",4.938287478536368,True,gcn,False,85093
