model,num_layers,hidden,learning_rate,seed,grid,val_loss,n_params,seconds
gin,2,32,0.001,0,IEEE24,0.0363343568146228,10740,23.7
gin,2,32,0.001,0,IEEE39,0.4781857675313949,10740,28.3
gin,2,32,0.001,0,IEEE118,0.4322955536842346,10740,66.6
gin,2,32,0.001,0,UK,0.2163269090652465,10740,30.3
gin,2,64,0.001,0,IEEE24,0.00605682823807,39828,32.5
gin,2,64,0.001,0,IEEE39,0.3500705581903457,39828,40.9
gin,2,64,0.001,0,IEEE118,0.1071536940336227,39828,123.2
gin,2,64,0.001,0,UK,0.0773376676440238,39828,40.7
gin,2,128,0.001,0,IEEE24,0.0033510145545005,153300,59.1
gin,2,128,0.001,0,IEEE39,0.3315036076307296,153300,80.6
gin,2,128,0.001,0,IEEE118,0.0557645627856254,153300,295.7
gin,2,128,0.001,0,UK,0.0495350232720375,153300,75.9
gin,3,32,0.001,0,IEEE24,0.0200280224531888,13908,29.0
gin,3,32,0.001,0,IEEE39,0.3686693167686462,13908,34.8
gin,3,32,0.001,0,IEEE118,0.4760769093036651,13908,84.2
gin,3,32,0.001,0,UK,0.3652787685394287,13908,37.9
gin,3,64,0.001,0,IEEE24,0.0075720635987818,52308,40.8
gin,3,64,0.001,0,IEEE39,0.2629987812042236,52308,51.8
gin,3,64,0.001,0,IEEE118,0.1141386890411376,52308,149.4
gin,3,64,0.001,0,UK,0.0410770911723375,52308,62.4
gin,3,128,0.001,0,IEEE24,0.0020450692367739,202836,78.5
gin,3,128,0.001,0,IEEE39,0.2563647222518921,202836,105.3
gin,3,128,0.001,0,IEEE118,0.0632128619402647,202836,328.5
gin,3,128,0.001,0,UK,0.0382324618846178,202836,137.2
gin,8,32,0.001,0,IEEE24,0.0147058499604463,29748,47.6
gin,8,32,0.001,0,IEEE39,0.0796397076547145,29748,56.9
gin,8,32,0.001,0,IEEE118,1.269301590919495,29748,110.8
gin,8,32,0.001,0,UK,0.2209263384342193,29748,68.7
gin,8,64,0.001,0,IEEE24,0.0098866607993841,114708,77.1
gin,8,64,0.001,0,IEEE39,0.1049131460487842,114708,71.4
gin,8,64,0.001,0,IEEE118,0.1383887150883674,114708,346.4
gin,8,64,0.001,0,UK,10.220999031066894,114708,89.6
gin,8,128,0.001,0,IEEE24,0.0031889826711267,450516,171.5
gin,8,128,0.001,0,IEEE39,0.0119091810286045,450516,216.2
gin,8,128,0.001,0,IEEE118,0.0559310194104909,450516,843.5
gin,8,128,0.001,0,UK,13.288729934692382,450516,185.7
gin,3,128,0.0003,0,IEEE24,0.0129488123580813,202836,78.6
gin,3,128,0.0003,0,IEEE39,0.279882099032402,202836,103.6
gin,3,128,0.0003,0,IEEE118,0.2614909452199936,202836,390.6
gin,3,128,0.0003,0,UK,0.172694422006607,202836,122.3
gin,3,128,0.001,100,IEEE24,0.0023044929071329,202836,144.3
gin,3,128,0.001,100,IEEE39,0.2573259198665619,202836,192.6
gin,3,128,0.001,100,IEEE118,0.0454041843116283,202836,669.7
gin,3,128,0.001,100,UK,0.0338930211216211,202836,136.7
gin,3,128,0.0003,100,IEEE24,0.0049232419207692,202836,120.4
gin,3,128,0.0003,100,IEEE39,0.2756608748435974,202836,143.5
gin,3,128,0.0003,100,IEEE118,0.4599693596363067,202836,490.4
gin,3,128,0.0003,100,UK,0.1510054424405097,202836,235.8
