num_layers,hidden,learning_rate,stage,seeds,mean_val_loss,stable,model,selected,n_params
3,128,0.001,1,[0],0.08996377882838713,True,gin,False,202836
3,64,0.001,1,[0],0.10644665625412013,True,gin,False,52308
2,128,0.001,1,[0],0.11003855206072326,True,gin,False,153300
2,64,0.001,1,[0],0.13515468702651556,True,gin,False,39828
2,32,0.001,1,[0],0.2907856467738747,True,gin,False,10740
3,32,0.001,1,[0],0.3075132542662322,True,gin,False,13908
8,32,0.001,1,[0],0.39614337174221875,True,gin,False,29748
8,64,0.001,1,[0],2.6185468882508576,True,gin,False,114708
8,128,0.001,1,[0],3.339939779450651,True,gin,False,450516
3,128,0.001,1-confirm,"[0, 100]",0.08734784169006159,True,gin,True,202836
3,128,0.0003,2,"[0, 100]",0.20232189968228337,True,gin,False,202836
