model,num_layers,hidden,learning_rate,seed,grid,val_loss,n_params,seconds
nnconv,2,32,0.001,0,IEEE24,0.0179415386915206,73796,77.8
nnconv,2,32,0.001,0,IEEE39,0.3340998256206512,73796,93.9
nnconv,2,32,0.001,0,IEEE118,1.038829324245453,73796,658.4
nnconv,2,32,0.001,0,UK,0.1655295801162719,73796,198.0
nnconv,2,64,0.001,0,IEEE24,0.0130301536060869,292676,461.9
nnconv,2,64,0.001,0,IEEE39,0.2625076848268509,292676,636.5
nnconv,2,64,0.001,0,IEEE118,0.1277993597090244,292676,4045.6
nnconv,3,32,0.001,0,IEEE118,0.4531399643421173,108804,1383.0
nnconv,3,64,0.001,0,IEEE118,0.0730278072506189,432164,4703.0
nnconv,8,32,0.001,0,IEEE118,0.1955896741151809,283844,2956.9
nnconv,8,64,0.001,0,IEEE118,15.968925704956057,1129604,8246.1
nnconv,3,64,0.0003,0,IEEE118,0.6155166149139404,432164,4438.6
nnconv,2,128,0.001,0,IEEE118,0.0808083868026733,1166660,10714.6
nnconv,3,128,0.001,0,IEEE118,0.0484727470204234,1724004,18592.6
nnconv,8,128,0.001,0,IEEE118,20.29521156311036,4510724,31404.0
nnconv,3,32,0.001,0,IEEE24,0.0350808826088905,108804,212.4
nnconv,3,64,0.001,0,IEEE24,1.0598977994918823,432164,722.1
nnconv,8,32,0.001,0,IEEE24,128.0562939453125,283844,472.5
nnconv,8,64,0.001,0,IEEE24,217173.48875,1129604,2747.9
nnconv,2,64,0.0003,0,IEEE24,0.0420905448496341,292676,620.8
nnconv,2,128,0.001,0,IEEE24,0.0121083283703774,1166660,3289.4
nnconv,3,128,0.001,0,IEEE24,0.2226052927970886,1724004,4205.1
nnconv,8,128,0.001,0,IEEE24,51488834.4,4510724,8345.5
nnconv,2,128,0.0003,0,IEEE24,0.0254403237253427,1166660,2634.0
nnconv,3,32,0.001,0,IEEE39,0.2077253091335296,108804,246.0
nnconv,3,64,0.001,0,IEEE39,0.1728580045700073,432164,1396.0
nnconv,8,32,0.001,0,IEEE39,253.2829821777344,283844,612.2
nnconv,8,64,0.001,0,IEEE39,472076.60125,1129604,3391.1
nnconv,3,64,0.0003,0,IEEE39,0.3259676849842071,432164,1097.5
nnconv,2,128,0.001,0,IEEE39,0.3160534989833832,1166660,4008.5
nnconv,3,128,0.001,0,IEEE39,0.4668425393104553,1724004,4870.5
nnconv,8,128,0.001,0,IEEE39,16313696.48,4510724,7763.2
nnconv,2,128,0.0003,0,IEEE39,0.3125267660617828,1166660,3070.9
nnconv,2,64,0.001,0,UK,0.0532431426644325,292676,1460.4
nnconv,3,32,0.001,0,UK,0.162478874027729,108804,457.9
nnconv,3,64,0.001,0,UK,0.0534146726131439,432164,2764.6
nnconv,8,32,0.001,0,UK,576.2081225585938,283844,1160.5
nnconv,8,64,0.001,0,UK,189396.88125,1129604,5856.1
nnconv,2,64,0.001,100,UK,0.035121677070856,292676,1467.5
nnconv,3,64,0.001,100,UK,0.040487165749073,432164,2114.4
nnconv,2,64,0.0003,0,UK,0.304083953499794,292676,1403.4
nnconv,2,64,0.0003,100,UK,0.2073756548762321,292676,1460.5
nnconv,2,128,0.001,0,UK,0.0266145782172679,1166660,6700.8
nnconv,3,128,0.001,0,UK,0.250975449681282,1724004,6275.6
nnconv,8,128,0.001,0,UK,24258280.36,4510724,15329.4
nnconv,2,128,0.0003,0,UK,0.087170173227787,1166660,5907.0
nnconv,2,128,0.0003,0,IEEE118,0.3547341561317443,1166660,15384.6
nnconv,2,128,0.001,100,IEEE118,0.0696898072957992,1166660,15846.8
nnconv,2,64,0.001,100,IEEE118,0.0942482022941112,292676,3801.4
nnconv,2,128,0.001,100,IEEE24,0.015847666086629,1166660,3861.0
nnconv,2,64,0.001,100,IEEE24,0.0250932174548506,292676,1060.6
nnconv,2,128,0.001,100,IEEE39,0.2620643779635429,1166660,4879.1
nnconv,2,64,0.001,100,IEEE39,0.2572067382931709,292676,1105.1
nnconv,2,128,0.001,100,UK,0.0150716937333345,1166660,8402.9
nnconv,2,128,0.0003,100,IEEE24,0.023586397357285023,1166660,2494.6
nnconv,2,128,0.0003,100,IEEE39,0.2621661227941513,1166660,3056.3
nnconv,2,128,0.0003,100,IEEE118,0.3367712581157684,1166660,12319.3
nnconv,2,128,0.0003,100,UK,0.07258104622364044,1166660,6371.7
