num_layers,hidden,learning_rate,stage,seeds,mean_val_loss,stable,model,selected,n_params
2,128,0.001,1,[0],0.10889619809342545,True,nnconv,False,1166660
2,64,0.001,1,[0],0.11414508520159866,True,nnconv,False,292676
3,32,0.001,1,[0],0.21460625752806659,True,nnconv,False,108804
3,128,0.001,1,[0],0.2472240072023123,True,nnconv,False,1724004
3,64,0.001,1,[0],0.3397995709814131,True,nnconv,False,432164
2,32,0.001,1,[0],0.3891000671684742,True,nnconv,False,73796
8,32,0.001,1,[0],239.43574708893897,True,nnconv,False,283844
8,64,0.001,1,[0],219665.73504392622,True,nnconv,False,1129604
8,128,0.001,1,[0],23015207.88380289,True,nnconv,False,4510724
2,128,0.001,1-confirm,"[0, 100]",0.09978229218162593,True,nnconv,True,1166660
2,64,0.001,1-tiebreak,"[0, 100]",0.10853127198992292,True,nnconv,False,292676
2,128,0.0003,2,"[0, 100]",0.18437203045468775,True,nnconv,False,1166660
