model,num_layers,hidden,learning_rate,seed,grid,val_loss,n_params,seconds
transformer,2,32,0.001,0,IEEE24,0.0388220243155956,13604,37.1
transformer,2,32,0.001,0,IEEE39,0.3699317979812622,13604,44.0
transformer,2,32,0.001,0,IEEE118,0.5721740412712097,13604,139.2
transformer,2,32,0.001,0,UK,0.9546371841430664,13604,56.2
transformer,2,64,0.001,0,IEEE24,0.0187907107919454,49380,52.9
transformer,2,64,0.001,0,IEEE39,0.3382937932014465,49380,47.0
transformer,2,64,0.001,0,IEEE118,0.2321662926673889,49380,209.0
transformer,2,64,0.001,0,UK,0.3899263656139374,49380,44.5
transformer,2,128,0.001,0,IEEE24,0.0103301914129406,188516,85.2
transformer,2,128,0.001,0,IEEE39,0.3355678367614746,188516,92.6
transformer,2,128,0.001,0,IEEE118,0.0710789454728365,188516,449.5
transformer,2,128,0.001,0,UK,0.1521474781632423,188516,67.0
transformer,3,32,0.001,0,IEEE24,0.0249923546612262,18340,48.5
transformer,3,32,0.001,0,IEEE39,0.3999289190769196,18340,56.1
transformer,3,32,0.001,0,IEEE118,0.3332693326473236,18340,198.5
transformer,3,32,0.001,0,UK,8.370795860290528,18340,32.3
transformer,3,64,0.001,0,IEEE24,0.012347594499588,67044,63.2
transformer,3,64,0.001,0,IEEE39,0.2411630588769912,67044,60.3
transformer,3,64,0.001,0,IEEE118,0.396633129119873,67044,223.4
transformer,3,64,0.001,0,UK,1.529656548500061,67044,39.0
transformer,3,128,0.001,0,IEEE24,0.0151782862842082,256612,78.7
transformer,3,128,0.001,0,IEEE39,0.2525310108065605,256612,128.5
transformer,3,128,0.001,0,IEEE118,0.4031042325496674,256612,399.4
transformer,3,128,0.001,0,UK,0.7927847409248352,256612,84.8
transformer,8,32,0.001,0,IEEE24,0.3635116624832153,42020,99.3
transformer,8,32,0.001,0,IEEE39,0.0524938479810953,42020,116.1
transformer,8,32,0.001,0,IEEE118,0.9288209581375122,42020,441.9
transformer,8,32,0.001,0,UK,63.87891647338867,42020,82.8
transformer,8,64,0.001,0,IEEE24,0.8394632005691528,155364,61.9
transformer,8,64,0.001,0,IEEE39,0.0299064723029732,155364,145.0
transformer,8,64,0.001,0,IEEE118,1.9781977605819705,155364,480.5
transformer,8,64,0.001,0,UK,14.565174789428712,155364,118.0
transformer,8,128,0.001,0,IEEE24,0.2035414803028106,597092,143.9
transformer,8,128,0.001,0,IEEE39,0.6696631073951721,597092,136.9
transformer,8,128,0.001,0,IEEE118,15.458034133911132,597092,511.1
transformer,8,128,0.001,0,UK,19.33561897277832,597092,154.7
transformer,2,128,0.0003,0,IEEE24,0.0149468864500522,188516,91.9
transformer,2,128,0.0003,0,IEEE39,0.3426144087314606,188516,106.8
transformer,2,128,0.0003,0,IEEE118,0.5611117362976075,188516,490.0
transformer,2,128,0.0003,0,UK,0.2777161818742752,188516,129.1
transformer,2,128,0.001,100,IEEE24,0.0080687099415808,188516,182.6
transformer,2,128,0.001,100,IEEE39,0.2570682567358017,188516,203.1
transformer,2,128,0.001,100,IEEE118,0.0981403094530105,188516,799.1
transformer,2,128,0.001,100,UK,0.1712395793199539,188516,100.9
transformer,2,128,0.0003,100,IEEE24,0.0718533709645271,188516,112.0
transformer,2,128,0.0003,100,IEEE39,0.2771597933769226,188516,170.6
transformer,2,128,0.0003,100,IEEE118,0.3584635436534881,188516,907.2
transformer,2,128,0.0003,100,UK,2.2252672040462493,188516,138.1
