model,grid,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
arma_gnn,IEEE24,0,A,8,128,0.001,pu_zscore,0.000189786995179,0.0198698174208402,0.0313847661018371,0.0001024123412207,0.0002390173176536,0.000623911852017,0.0004049914132338,0.0514985099434852,0.0273219272494316,4.727798152970308e-09,0.0006588293472304,0.0279006697237491,0.0818386152386665,4.213712963974103e-05,0.015757642686367
arma_gnn,IEEE24,100,A,8,128,0.001,pu_zscore,0.0002679705794434,0.0396127663552761,0.053160011768341,0.0001089711367967,0.0004556024214252,0.0002980603894684,0.0004663447325583,0.0583059825003147,0.0992715135216713,1.078998779213691e-09,0.0008735654992051,0.0305423233658075,0.1630745679140091,1.5635689123882912e-05,0.0190075263381004
arma_gnn,IEEE24,300,A,8,128,0.001,pu_zscore,0.0002599703730084,0.037282820791006,0.0422374717891216,0.000150888110511,0.0002773893356788,0.0002974261878989,0.0003677820204757,0.1117892861366272,0.036798670887947,1.0744120038097547e-09,0.0005433283513411,0.0571630112826824,0.0966017246246337,1.5562722182949074e-05,0.0151696112006902
arma_gnn,IEEE24,700,A,8,128,0.001,pu_zscore,0.0003246437117923,0.0581399910151958,0.0502200946211814,0.0001969813019968,0.0002903677523136,0.0004794338601641,0.0006538950838148,0.1905197948217392,0.0403226837515831,2.7917075318129037e-09,0.0017175030661746,0.0836437195539474,0.0852034091949462,2.697654053918086e-05,0.0320062972605228
arma_gnn,IEEE24,1000,A,8,128,0.001,pu_zscore,0.0001990434684557,0.021855304017663,0.0296625141054391,0.0001176138030132,0.0001968484430108,0.0003563761129043,0.000490918115247,0.0679214149713516,0.0185317546129226,1.542515892793972e-09,0.0009680535295046,0.0336326658725738,0.0675852224230766,1.8841003111447208e-05,0.017413318157196
arma_gnn,IEEE39,0,A,8,128,0.001,pu_zscore,0.0004024294612463,0.2463057339191436,0.0874464139342308,0.0002505519951228,0.0003405949682928,0.001253716298379,0.0015825317241251,0.5345339179039001,0.4229283332824707,1.0068414724173637e-07,0.0277605336159467,0.0529624819755554,0.2011728286743164,0.0001919305504998,0.0954583659768104
arma_gnn,IEEE39,100,A,8,128,0.001,pu_zscore,0.0003912224492523,0.2327783405780792,0.081453762948513,0.0002486940938979,0.0003251813177485,0.0009273975738324,0.0013079240452498,0.5266359448432922,0.3855152130126953,5.509274814130549e-08,0.0189621653407812,0.0708302780985832,0.1799491345882415,0.0001202499115606,0.0749153569340705
arma_gnn,IEEE39,300,A,8,128,0.001,pu_zscore,0.0003289177839178,0.1645393371582031,0.0798243135213851,0.0001617131056264,0.000335386081133,0.0009478310821577,0.0015135143185034,0.2226742506027221,0.4100911319255829,5.7547229204146795e-08,0.0253919456154108,0.0441478304564952,0.1830345094203949,0.0001371742837363,0.0919777527451515
arma_gnn,IEEE39,700,A,8,128,0.001,pu_zscore,0.0005790381692349,0.5099287033081055,0.100253976881504,0.000387016654713,0.0004492969892453,0.0013455857988446,0.0015998595627024,1.2753777503967283,0.735965371131897,1.1598058335948737e-07,0.0283717848360538,0.0954191833734512,0.2290306240320205,0.000156403373694,0.0764097273349762
arma_gnn,IEEE39,1000,A,8,128,0.001,pu_zscore,0.0003466802299953,0.1827903240919113,0.0721405819058418,0.000205707954592,0.0003126614028587,0.0010297761764377,0.0011415837798267,0.3603144586086273,0.3564009964466095,6.792789974952029e-08,0.0144456950947642,0.0601097233593463,0.1613004952669143,0.0001647120807319,0.066987358033657
