arm,model,quantity,gnn_nrmse,dc_nrmse,gnn_over_dc
regime_a,arma_gnn,P,0.00021217583453104444,0.011851479415781747,0.01790289862449623
regime_a,arma_gnn,Q,0.00046271408427851004,0.1188735999166965,0.0038924881942060128
regime_a,arma_gnn,V,0.0010408996684418003,0.17599414661526674,0.005914399361913248
regime_a,arma_gnn,theta,0.003651144719333345,0.0648676038254052,0.05628610437284852
regime_a,arma_gnn,aggregate,0.0004414334638567501,0.07021974399685854,0.006286457892476776
regime_a,arma_gnn,PVtheta,0.0016347400741020632,0.08423774328548456,0.01940626624530852
regime_a,gat,P,0.0006792239488276773,0.011851479415781747,0.05731132165012281
regime_a,gat,Q,0.004986475076293519,0.1188735999166965,0.041947708152086836
regime_a,gat,V,0.01094962179922727,0.17599414661526674,0.06221582938871126
regime_a,gat,theta,0.013997243318590303,0.0648676038254052,0.21578172297322204
regime_a,gat,aggregate,0.003956302398000795,0.07021974399685854,0.05634173770524982
regime_a,gat,PVtheta,0.008542029688881748,0.08423774328548456,0.10140382868440007
regime_a,gcn,P,0.004577946777862921,0.011851479415781747,0.38627639784504914
regime_a,gcn,Q,0.01074717941519333,0.1188735999166965,0.09040846262521426
regime_a,gcn,V,0.015106876054778645,0.17599414661526674,0.08583737780667865
regime_a,gcn,theta,0.023114243068266607,0.0648676038254052,0.3563295343925435
regime_a,gcn,aggregate,0.010025940110790488,0.07021974399685854,0.14277950246071852
regime_a,gcn,PVtheta,0.014266355300302722,0.08423774328548456,0.1693582323537985
regime_a,gin,P,0.0003713809328473374,0.011851479415781747,0.0313362509285378
regime_a,gin,Q,0.004683198552811476,0.1188735999166965,0.03939645603475741
regime_a,gin,V,0.00138783485890594,0.17599414661526674,0.007885687595848435
regime_a,gin,theta,0.009059633474680539,0.0648676038254052,0.1396634520224464
regime_a,gin,aggregate,0.0036766751407412298,0.07021974399685854,0.0523595634428077
regime_a,gin,PVtheta,0.0036062830888112718,0.08423774328548456,0.04281077517223433
regime_a,nnconv,P,0.0006077484540582583,0.011851479415781747,0.051280387261101276
regime_a,nnconv,Q,0.004990511585977675,0.1188735999166965,0.041981664469443965
regime_a,nnconv,V,0.011246218234494593,0.17599414661526674,0.06390109245553188
regime_a,nnconv,theta,0.014371050429569184,0.0648676038254052,0.2215443392706423
regime_a,nnconv,aggregate,0.003959040036230908,0.07021974399685854,0.05638072443568044
regime_a,nnconv,PVtheta,0.008741672372707345,0.08423774328548456,0.1037738195701839
regime_a,transformer,P,0.000494225154034172,0.011851479415781747,0.04170155781362186
regime_a,transformer,Q,0.004923371127370005,0.1188735999166965,0.04141685900671112
regime_a,transformer,V,0.010952831117901914,0.17599414661526674,0.062234064760377676
regime_a,transformer,theta,0.01384222855704132,0.0648676038254052,0.2133920129730467
regime_a,transformer,aggregate,0.00391514690491016,0.07021974399685854,0.05575564196140211
regime_a,transformer,PVtheta,0.008429761609659135,0.08423774328548456,0.10007107599132123
cross_context,arma_gnn,P,0.34933827581407967,0.011391688138246474,30.666067361975152
cross_context,arma_gnn,Q,0.7236256408854388,0.11371184512972828,6.3636786480765455
cross_context,arma_gnn,V,0.7530324733699671,0.15377928689122194,4.896839415718164
cross_context,arma_gnn,theta,1.4143183347652666,0.044647295027971226,31.677581673855176
cross_context,arma_gnn,aggregate,0.617260283412179,0.06692917831242082,9.222588697127735
cross_context,arma_gnn,PVtheta,0.8388963613164379,0.06993942335247988,11.99461363998639
cross_context,gat,P,0.3985803003422916,0.011391688138246474,34.98869487166677
cross_context,gat,Q,1.1518555327143987,0.11371184512972828,10.129600231183506
cross_context,gat,V,1.2142060600104743,0.15377928689122194,7.895771170205522
cross_context,gat,theta,3.081864222954027,0.044647295027971226,69.02689672517137
cross_context,gat,aggregate,0.8308104282157729,0.06692917831242082,12.413276976711215
cross_context,gat,PVtheta,1.564883527768931,0.06993942335247988,22.37484172384793
cross_context,gcn,P,0.36709996129981465,0.011391688138246474,32.225246762796516
cross_context,gcn,Q,1.0049675916309786,0.11371184512972828,8.83784438186242
cross_context,gcn,V,2.7979467612309143,0.15377928689122194,18.194561945199315
cross_context,gcn,theta,2.0829563566053717,0.044647295027971226,46.653584619189445
cross_context,gcn,aggregate,0.7745025590157661,0.06692917831242082,11.571971725103829
cross_context,gcn,PVtheta,1.7308786748019382,0.06993942335247988,24.74825487305888
cross_context,gin,P,0.22430977925250772,0.011391688138246474,19.690653091126123
cross_context,gin,Q,1.3219337223417824,0.11371184512972828,11.625294804016706
cross_context,gin,V,11.135275028692558,0.15377928689122194,72.4107599521466
cross_context,gin,theta,6.908145946112927,0.044647295027971226,154.72708798562198
cross_context,gin,aggregate,0.7555051908391761,0.06692917831242082,11.288128883228323
cross_context,gin,PVtheta,6.089243584685997,0.06993942335247988,87.06453803597292
cross_context,nnconv,P,0.8364702327186629,0.011391688138246474,73.42811904324314
cross_context,nnconv,Q,1.4325113271479495,0.11371184512972828,12.597731797542002
cross_context,nnconv,V,1.3228997542367629,0.15377928689122194,8.602587389890394
cross_context,nnconv,theta,6.8805077248835005,0.044647295027971226,154.108053367464
cross_context,nnconv,aggregate,1.49125361162199,0.06692917831242082,22.281068574619585
cross_context,nnconv,PVtheta,3.0132925706129754,0.06993942335247988,43.08432106205136
cross_context,transformer,P,0.32317157161887733,0.011391688138246474,28.369067665560518
cross_context,transformer,Q,1.0481305048073408,0.11371184512972828,9.217425885681303
cross_context,transformer,V,1.1128000727272593,0.15377928689122194,7.236345643314206
cross_context,transformer,theta,2.099522536317818,0.044647295027971226,47.02463015962068
cross_context,transformer,aggregate,0.7058959878660971,0.06692917831242082,10.546909519358254
cross_context,transformer,PVtheta,1.1784980602213182,0.06993942335247988,16.85026847135896
ood,arma_gnn,P,0.49777809865772726,0.011391688138246474,43.69660515779801
ood,arma_gnn,Q,0.8135316463187336,0.11371184512972828,7.154326318341025
ood,arma_gnn,V,1.029189809039235,0.15377928689122194,6.692642616864569
ood,arma_gnn,theta,1.2482296392321586,0.044647295027971226,27.957564695692117
ood,arma_gnn,aggregate,0.7977203629910946,0.06692917831242082,11.918872801147963
ood,arma_gnn,PVtheta,0.9250658489763737,0.06993942335247988,13.226672520793283
ood,gat,P,0.18766205580905077,0.011391688138246474,16.473594916893298
ood,gat,Q,0.3641748113557696,0.11371184512972828,3.2026110467234123
ood,gat,V,0.9140215024352074,0.15377928689122194,5.943723117156565
ood,gat,theta,2.4524740681052206,0.044647295027971226,54.92995861381439
ood,gat,aggregate,0.346431890130043,0.06692917831242082,5.176096567522802
ood,gat,PVtheta,1.1847192087831597,0.06993942335247988,16.93921899830981
ood,gcn,P,0.760617583617568,0.011391688138246474,66.76952304056404
ood,gcn,Q,0.6143878268077969,0.11371184512972828,5.403023986699644
ood,gcn,V,1.711138466745615,0.15377928689122194,11.127236322509509
ood,gcn,theta,1.2970794826745986,0.044647295027971226,29.05169242306812
ood,gcn,aggregate,1.0434711143374442,0.06692917831242082,15.590675705991677
ood,gcn,PVtheta,1.2562785110125938,0.06993942335247988,17.962380168352492
ood,gin,P,0.16337083680555223,0.011391688138246474,14.341231503437204
ood,gin,Q,0.5807992361485959,0.11371184512972828,5.107640593519439
ood,gin,V,11.905670307576655,0.15377928689122194,77.42050667719839
ood,gin,theta,3.3492768526077272,0.044647295027971226,75.0163442266643
ood,gin,aggregate,0.38694927021861075,0.06692917831242082,5.781473491462245
ood,gin,PVtheta,5.139439332329979,0.06993942335247988,73.48415365720551
ood,nnconv,P,2.6368078142404556,0.011391688138246474,231.4676966434529
ood,nnconv,Q,1.1957233889649312,0.11371184512972828,10.515381116195845
ood,nnconv,V,0.9515310811499754,0.15377928689122194,6.187641394273437
ood,nnconv,theta,1.8824933841824532,0.044647295027971226,42.16366037411861
ood,nnconv,aggregate,3.4095452247808375,0.06692917831242082,50.94258305197345
ood,nnconv,PVtheta,1.823610759857628,0.06993942335247988,26.074146346146094
ood,transformer,P,0.14302921853959555,0.011391688138246474,12.555577084259268
ood,transformer,Q,0.29891451355069876,0.11371184512972828,2.6287016379839923
ood,transformer,V,0.930243843793869,0.15377928689122194,6.049214186120468
ood,transformer,theta,1.3887652561068535,0.044647295027971226,31.10524960665146
