seed,model,n_expected,n_finite,finite_rate,mean_nrmse,std_nrmse,mmd_range,g_score
0,arma_gnn,4,4,1.0,0.9935572594404221,0.7330469437724357,0.34905156775897683,1.6223341816618246
0,gat,4,4,1.0,0.3577762246131897,0.1337400243316185,0.34905156775897683,0.4724928080345592
0,gcn,4,4,1.0,1.5207885913550854,1.8507217302384387,0.34905156775897683,3.108260066836533
0,gin,4,4,1.0,0.5329547561705112,0.5274621536895834,0.34905156775897683,0.9853896682900912
0,nnconv,4,4,1.0,4.392130646854639,5.349850913389971,0.34905156775897683,8.981008371865617
0,transformer,4,4,1.0,0.398775078356266,0.4077357178307355,0.34905156775897683,0.7485136754752687
100,arma_gnn,4,4,1.0,0.777009341865778,0.5689142288389352,0.34905156775897683,1.2650001054264233
100,gat,4,4,1.0,0.2591778859496116,0.1397697851443231,0.34905156775897683,0.3790665452902016
100,gcn,4,4,1.0,1.417106956243515,1.7051084704023256,0.34905156775897683,2.8796774848862845
100,gin,4,4,1.0,0.32423511520028114,0.20496672457682072,0.34905156775897683,0.5000469746345164
100,nnconv,4,4,1.0,2.8754639718681574,3.009286863074274,0.34905156775897683,5.4567040246642025
100,transformer,4,4,1.0,0.24235199764370915,0.12442083799890456,0.34905156775897683,0.34907497390298303
300,arma_gnn,4,4,1.0,0.6229589395225048,0.47480305136404544,0.34905156775897683,1.0302250823449954
300,gat,4,4,1.0,0.3619304709136486,0.40066082511360485,0.34905156775897683,0.7056005218017226
300,gcn,4,4,1.0,0.684424102306366,0.5241954194421963,0.34905156775897683,1.1340569468049875
300,gin,4,4,1.0,0.47752565890550613,0.3427318648382338,0.34905156775897683,0.7715066773804784
300,nnconv,4,4,1.0,2.9610410556197166,3.196113167169175,0.34905156775897683,5.7025328760232386
300,transformer,4,4,1.0,0.23262374848127362,0.08536288430428364,0.34905156775897683,0.30584445026684925
700,arma_gnn,4,4,1.0,0.8322214037179947,0.6270479580184813,0.34905156775897683,1.3700768418691327
700,gat,4,4,1.0,0.20631725341081614,0.07799944580992935,0.34905156775897683,0.2732219065002199
700,gcn,4,4,1.0,0.6962122805416584,0.6157149568783071,0.34905156775897683,1.2243467456541821
700,gin,4,4,1.0,0.36453332006931305,0.3965139763998271,0.34905156775897683,0.70464637806175
700,transformer,4,4,1.0,0.21361599117517466,0.06890568947665884,0.34905156775897683,0.2727204015008076
1000,arma_gnn,4,4,1.0,0.7628548704087734,0.588472918381003,0.34905156775897683,1.267622257509593
1000,gat,4,4,1.0,0.546957615762949,0.3091174515306929,0.34905156775897683,0.812105600390153
1000,gcn,4,4,1.0,0.8988236412405968,0.7413052850345445,0.34905156775897683,1.5346842222174948
1000,gin,4,4,1.0,0.23549750074744225,0.07123444876054812,0.34905156775897683,0.29659942311177623
1000,transformer,4,4,1.0,0.25976948067545885,0.14298356023177855,0.34905156775897683,0.38241478149088104
