arm,model,quantity,n,nrmse_mean,nrmse_sd,nrmse_n_nonfinite,mse_mean,mse_sd,mse_n_nonfinite,mae_mean,mae_sd,mae_n_nonfinite
regime_a,arma_gnn,P,20,0.00021217583453104444,0.00011699399411189061,0,8.556100339256227,18.161167454761763,0,0.2730882392264902,0.3816009995912327,0
regime_a,arma_gnn,Q,20,0.00046271408427851004,0.0002875915916993067,0,5.962258256599307,6.625271277560281,0,0.7904585115611553,0.8276421395295807,0
regime_a,arma_gnn,V,20,0.0010408996684418003,0.0008772326256710348,0,8.356912560734605e-08,1.086740629857973e-07,0,8.066505221788151e-05,7.19553781766584e-05,0
regime_a,arma_gnn,theta,20,0.003651144719333345,0.005160305191208556,0,1.220424190175254,2.300024603928167,0,0.20016210051253439,0.26077006032323896,0
regime_a,gat,P,20,0.0006792239488276773,0.0007470964914432092,0,25.69994663093239,33.54963301605227,0,0.484319072868675,0.4867520228849772,0
regime_a,gat,Q,20,0.004986475076293519,0.007275649785891259,0,292.1501670377329,468.48687697390045,0,2.860883465781808,2.269015458930676,0
regime_a,gat,V,20,0.01094962179922727,0.017478905089404334,0,2.6235258141853195e-05,4.6477346036919803e-05,0,0.0006760250251659025,0.0010676100191328813,0
regime_a,gat,theta,20,0.013997243318590303,0.01552771033552668,0,6.135581091843778,6.790891144303844,0,0.5983550855889916,0.5509108933336684,0
regime_a,gcn,P,20,0.004577946777862921,0.008443466819906629,0,2137.920306390524,4578.306082450869,0,3.6584063682705166,5.935317597165651,0
regime_a,gcn,Q,20,0.01074717941519333,0.012011095058374976,0,1749.3381997324527,3180.1167929178,0,10.114401828497648,15.748046547675738,0
regime_a,gcn,V,20,0.015106876054778645,0.018037233387087924,0,3.195282976597629e-05,5.649357993035272e-05,0,0.0011101415686652898,0.0016552940585556847,0
regime_a,gcn,theta,20,0.023114243068266607,0.01844408832040976,0,14.861678931629285,17.418425427192147,0,1.4220579769462347,1.3234024418579788,0
regime_a,gin,P,20,0.0003713809328473374,0.0003066596072974588,0,41.106180381029844,85.07105655038087,0,0.5761636791750788,0.820998550294453,0
regime_a,gin,Q,20,0.004683198552811476,0.007136058506382421,0,285.0160473629832,438.7838742205096,0,2.898432679846883,2.5964281534381937,0
regime_a,gin,V,20,0.00138783485890594,0.0009058851907283887,0,1.4463482558672858e-07,1.9702446231948461e-07,0,0.00014320810533942403,0.00015131076303599866,0
regime_a,gin,theta,20,0.009059633474680539,0.009070034913745549,0,2.5454428976750934,2.6096058053344993,0,0.36283025378361344,0.3015054314097977,0
regime_a,nnconv,P,12,0.0006077484540582583,0.0005610155727655891,0,34.771178851524986,49.464544433367074,0,0.6557591579233607,0.6909278666643004,0
regime_a,nnconv,Q,12,0.004990511585977675,0.007249547638479626,0,297.6011561471969,457.21029005287625,0,3.082693679879109,2.643954299734413,0
regime_a,nnconv,V,12,0.011246218234494593,0.017867600421190864,0,2.6795896385309424e-05,4.8326746365682025e-05,0,0.0007142853867965682,0.0011595950997332124,0
regime_a,nnconv,theta,12,0.014371050429569184,0.015568342538043803,0,6.400862022671693,7.003207705336277,0,0.6174049569914738,0.5500929401441225,0
regime_a,transformer,P,20,0.000494225154034172,0.0004871837406628282,0,23.867246735282244,39.20013564306662,0,0.4832596488296986,0.5474240738227344,0
regime_a,transformer,Q,20,0.004923371127370005,0.007276843630382363,0,283.9964642322622,468.09610063637297,0,2.4717377342283724,2.148604231049721,0
regime_a,transformer,V,20,0.010952831117901914,0.017656443360043784,0,2.662335118439813e-05,4.717505379631226e-05,0,0.0006623759214221356,0.0010675321487705444,0
regime_a,transformer,theta,20,0.01384222855704132,0.01549210557045571,0,6.0956065670063255,6.714384799166134,0,0.5588272234424949,0.5285897581053376,0
cross_context,arma_gnn,P,80,0.34933827581407967,0.7403613323119477,0,5975729.110899949,10497964.435545202,0,256.05141339302065,346.3565596986362,0
cross_context,arma_gnn,Q,80,0.7236256408854388,2.181955309811415,0,3451830.6887375712,9794574.986834537,0,560.7766070038081,915.1508791190563,0
cross_context,arma_gnn,V,80,0.7530324733699671,1.5552386710546526,0,0.006292881697080655,0.016944983218666332,0,0.025749686417384465,0.02294020593203493,0
cross_context,arma_gnn,theta,80,1.4143183347652666,3.3013208148550177,0,332245.5774190448,1507907.3401721506,0,186.40995937101542,428.17306931397235,0
cross_context,gat,P,80,0.3985803003422916,0.9222020418706625,0,7532649.955566406,15811961.950237531,0,274.08356006033716,408.13417811518565,0
cross_context,gat,Q,80,1.1518555327143987,3.6467299427390425,0,10156025.88149109,31776988.562192984,0,861.1017790555954,1669.31526787178,0
cross_context,gat,V,80,1.2142060600104743,2.8672270439441165,0,0.018802351706763747,0.06569907463969336,0,0.03432818681258136,0.04260545962772751,0
cross_context,gat,theta,80,3.081864222954027,6.8521495502114815,0,1437173.522653514,5690990.249129915,0,361.1228030532599,815.6276783393251,0
cross_context,gcn,P,80,0.36709996129981465,0.9057203155174492,1,7958252.282668681,17697791.362217616,1,277.42373084871076,422.4229784308791,1
