arm,metric,model,rank_overall,mean,sd,n,mean_rank,modal_rank,rank_frequencies,overlaps_next
regime_a,nrmse,arma_gnn,1,0.00044143346385674997,0.0002925372823793882,20,1.5,1.0,"{1.0: 11, 2.0: 8, 3.0: 1}",True
regime_a,nrmse,gin,2,0.0036766751407412298,0.005537415916137314,20,2.85,4.0,"{1.0: 4, 2.0: 6, 3.0: 1, 4.0: 8, 6.0: 1}",True
regime_a,nrmse,transformer,3,0.00391514690491016,0.005677620456415977,20,3.0,3.0,"{1.0: 4, 2.0: 3, 3.0: 7, 4.0: 3, 5.0: 1, 6.0: 2}",True
regime_a,nrmse,gat,4,0.003956302398000796,0.0057473896056683665,20,3.25,3.0,"{1.0: 1, 2.0: 3, 3.0: 9, 4.0: 4, 5.0: 3}",True
regime_a,nrmse,nnconv,5,0.0039590400362309085,0.005687241524116578,12,4.25,4.0,"{3.0: 2, 4.0: 5, 5.0: 5}",True
regime_a,nrmse,gcn,6,0.010025940110790488,0.013729293413091407,20,5.45,5.0,"{5.0: 11, 6.0: 9}",False
regime_a,mse,arma_gnn,1,3.934695643745363,5.715045034327979,20,1.5,1.0,"{1.0: 11, 2.0: 8, 3.0: 1}",True
regime_a,mse,transformer,2,78.48983233403415,117.25805525779866,20,3.0,3.0,"{1.0: 4, 2.0: 3, 3.0: 7, 4.0: 3, 5.0: 1, 6.0: 2}",True
regime_a,mse,gat,3,80.99642988434061,119.68170208148773,20,3.25,3.0,"{1.0: 1, 2.0: 3, 3.0: 9, 4.0: 4, 5.0: 3}",True
regime_a,mse,gin,4,82.16691797431558,109.65265376487449,20,2.85,4.0,"{1.0: 4, 2.0: 6, 3.0: 1, 4.0: 8, 6.0: 1}",True
regime_a,mse,nnconv,5,84.69329840627809,114.49335557672698,12,4.25,4.0,"{3.0: 2, 4.0: 5, 5.0: 5}",True
regime_a,mse,gcn,6,975.5300550319255,1913.2931827587056,20,5.45,5.0,"{5.0: 11, 6.0: 9}",False
regime_a,mae,arma_gnn,1,0.3159473768435418,0.29450956252527005,20,1.35,1.0,"{1.0: 16, 2.0: 2, 3.0: 1, 4.0: 1}",True
regime_a,mae,transformer,2,0.8786217557266355,0.6715531118876189,20,2.95,3.0,"{1.0: 2, 2.0: 6, 3.0: 7, 4.0: 2, 5.0: 2, 6.0: 1}",True
regime_a,mae,gin,3,0.9593924347311258,0.8057799216808653,20,2.95,4.0,"{1.0: 2, 2.0: 7, 3.0: 3, 4.0: 7, 6.0: 1}",True
regime_a,mae,gat,4,0.9860584303736687,0.7004649051128633,20,3.35,3.0,"{2.0: 5, 3.0: 7, 4.0: 4, 5.0: 4}",True
regime_a,mae,nnconv,5,1.0891429763287306,0.8223760052475315,12,4.25,4.0,"{3.0: 2, 4.0: 6, 5.0: 3, 6.0: 1}",True
regime_a,mae,gcn,6,3.798993990197778,5.402291192176406,20,5.45,5.0,"{5.0: 11, 6.0: 9}",False
cross_context,nrmse,arma_gnn,1,0.8214634639521439,1.1814633419963294,20,2.55,3.0,"{1.0: 5, 2.0: 5, 3.0: 5, 4.0: 4, 5.0: 1}",True
cross_context,nrmse,transformer,2,0.9385692360500494,1.4537987106413517,20,2.85,2.0,"{1.0: 3, 2.0: 6, 3.0: 5, 4.0: 3, 5.0: 3}",True
cross_context,nrmse,gin,3,1.0044777372231086,1.9377835463549338,20,3.95,5.0,"{1.0: 3, 2.0: 3, 3.0: 1, 4.0: 2, 5.0: 7, 6.0: 4}",True
cross_context,nrmse,gcn,4,1.0580654153945268,1.5591571741372525,20,3.111111111111111,5.0,"{1.0: 4, 2.0: 4, 3.0: 1, 4.0: 4, 5.0: 5}",True
cross_context,nrmse,gat,5,1.1050029053042332,1.6907871750764314,20,2.95,3.0,"{1.0: 5, 2.0: 2, 3.0: 6, 4.0: 5, 6.0: 2}",True
cross_context,nrmse,nnconv,6,1.9853601563307974,2.2917516430530873,12,5.0,6.0,"{3.0: 2, 4.0: 2, 5.0: 2, 6.0: 6}",False
cross_context,mse,arma_gnn,1,3253027.3420735677,3751127.7776616947,20,1.95,2.0,"{1.0: 7, 2.0: 8, 3.0: 4, 4.0: 1}",True
cross_context,mse,transformer,2,5395801.545686848,6240232.232683968,20,3.15,3.0,"{1.0: 2, 2.0: 4, 3.0: 6, 4.0: 5, 5.0: 3}",True
cross_context,mse,gat,3,6375021.8466064455,8433745.93933088,20,3.35,4.0,"{1.0: 2, 2.0: 4, 3.0: 4, 4.0: 6, 5.0: 3, 6.0: 1}",True
cross_context,mse,gcn,4,6644373.373354312,7830992.153639317,20,3.2222222222222223,4.0,"{1.0: 4, 2.0: 2, 3.0: 3, 4.0: 6, 5.0: 1, 6.0: 2}",True
cross_context,mse,nnconv,5,22221973.154947918,30172199.908329677,12,3.8333333333333335,6.0,"{1.0: 3, 2.0: 1, 3.0: 1, 4.0: 1, 5.0: 2, 6.0: 4}",True
cross_context,mse,gin,6,49552623.02313639,170052271.84453732,20,4.45,5.0,"{1.0: 2, 2.0: 1, 3.0: 2, 4.0: 1, 5.0: 9, 6.0: 5}",False
cross_context,mae,arma_gnn,1,333.16321528752644,202.83116720063876,20,1.75,1.0,"{1.0: 11, 2.0: 6, 3.0: 2, 6.0: 1}",True
cross_context,mae,transformer,2,430.2661643028259,270.8301502747085,20,3.15,3.0,"{2.0: 6, 3.0: 8, 4.0: 3, 5.0: 3}",True
cross_context,mae,gcn,3,483.40774200580734,386.31043199981355,20,3.111111111111111,3.0,"{1.0: 4, 2.0: 2, 3.0: 5, 4.0: 3, 5.0: 3, 6.0: 1}",True
cross_context,mae,gat,4,497.1732264200847,343.73176472775594,20,3.85,4.0,"{1.0: 1, 2.0: 1, 3.0: 4, 4.0: 9, 5.0: 4, 6.0: 1}",True
cross_context,mae,nnconv,5,643.5262675285339,550.6595740972377,12,3.5,4.0,"{1.0: 2, 2.0: 3, 4.0: 3, 5.0: 2, 6.0: 2}",True
cross_context,mae,gin,6,921.1624918301901,1013.5267913251282,20,4.45,6.0,"{1.0: 2, 2.0: 2, 3.0: 1, 4.0: 2, 5.0: 6, 6.0: 7}",False
ood,nrmse,transformer,1,0.26942725926637645,0.22301034760673505,20,2.4,1.0,"{1.0: 7, 2.0: 4, 3.0: 5, 4.0: 2, 5.0: 2}",True
ood,nrmse,gat,2,0.346431890130043,0.2781190337194595,20,2.95,3.0,"{1.0: 3, 2.0: 5, 3.0: 7, 4.0: 1, 5.0: 3, 6.0: 1}",True
ood,nrmse,gin,3,0.3869492702186107,0.37187585810803386,20,2.95,2.0,"{1.0: 3, 2.0: 7, 3.0: 3, 4.0: 4, 5.0: 1, 6.0: 2}",True
ood,nrmse,arma_gnn,4,0.7977203629910946,0.6320688157706434,20,3.9,4.0,"{1.0: 2, 2.0: 1, 3.0: 2, 4.0: 9, 5.0: 4, 6.0: 2}",True
ood,nrmse,gcn,5,1.0434711143374442,1.311796450217616,20,3.6,5.0,"{1.0: 3, 2.0: 3, 3.0: 2, 4.0: 4, 5.0: 7, 6.0: 1}",True
ood,nrmse,nnconv,6,3.4095452247808375,4.235938212411539,12,4.666666666666667,6.0,"{1.0: 2, 3.0: 1, 5.0: 3, 6.0: 6}",False
ood,mse,transformer,1,1347020.3423828124,2088548.6252159693,20,2.4,1.0,"{1.0: 7, 2.0: 4, 3.0: 5, 4.0: 2, 5.0: 2}",True
ood,mse,gat,2,2356885.655224609,4341781.588929474,20,2.95,3.0,"{1.0: 3, 2.0: 5, 3.0: 7, 4.0: 1, 5.0: 3, 6.0: 1}",True
ood,mse,arma_gnn,3,3047148.163671875,3785271.4690403678,20,3.9,4.0,"{1.0: 2, 2.0: 1, 3.0: 2, 4.0: 9, 5.0: 4, 6.0: 2}",True
ood,mse,gcn,4,6523224.869921875,10605297.691742335,20,3.6,5.0,"{1.0: 3, 2.0: 3, 3.0: 2, 4.0: 4, 5.0: 7, 6.0: 1}",True
ood,mse,gin,5,11519650.066113282,43657172.9789215,20,2.95,2.0,"{1.0: 3, 2.0: 7, 3.0: 3, 4.0: 4, 5.0: 1, 6.0: 2}",True
ood,mse,nnconv,6,39542310.927083336,77782515.35599174,12,4.666666666666667,6.0,"{1.0: 2, 3.0: 1, 5.0: 3, 6.0: 6}",False
ood,mae,transformer,1,188.5142084121704,213.50339710962174,20,2.15,1.0,"{1.0: 7, 2.0: 6, 3.0: 4, 4.0: 3}",True
ood,mae,gat,2,285.31571264266967,412.65721839241775,20,2.4,1.0,"{1.0: 7, 2.0: 5, 3.0: 4, 4.0: 1, 5.0: 3}",True
ood,mae,arma_gnn,3,330.172371673584,338.7537133173923,20,4.2,5.0,"{1.0: 1, 2.0: 1, 3.0: 2, 4.0: 6, 5.0: 9, 6.0: 1}",True
ood,mae,gcn,4,331.5921718597412,340.48484991223063,20,3.7,5.0,"{1.0: 1, 2.0: 3, 3.0: 4, 4.0: 5, 5.0: 7}",True
ood,mae,gin,5,503.7630142211914,1071.5337084675239,20,3.25,4.0,"{1.0: 2, 2.0: 5, 3.0: 5, 4.0: 5, 6.0: 3}",True
ood,mae,nnconv,6,525.342404683431,431.5554626794807,12,4.833333333333333,6.0,"{1.0: 2, 3.0: 1, 5.0: 1, 6.0: 8}",False
