arm,model,train_grid,test_grid,seed,unseen,normalize,nrmse,checkpoint,pred_n_P,pred_nrmse_P,pred_mae_P,pred_n_Q,pred_nrmse_Q,pred_mae_Q,pred_n_V,pred_nrmse_V,pred_mae_V,pred_n_theta,pred_nrmse_theta,pred_mae_theta,p95_P,p99_P,max_P,p95_Q,p99_Q,max_Q,p95_V,p99_V,max_V,p95_theta,p99_theta,max_theta,vm_n,vm_viol_rate_true,vm_viol_rate_pred,vm_false_secure,vm_false_alarm,ac_dp_mean_mw,ac_dp_max_mw,ac_dp_p95_mw,ac_dq_mean_mvar,ac_dq_max_mvar,ac_dq_p95_mvar,ac_dp_pct_load,ac_dq_pct_load,ac_dp_true_max_mw,branch_loading_max_pct,branch_loading_max_pct_true,overload_rate_true,overload_rate_pred,missed_overload_rate,false_overload_rate
ood,gcn,IEEE118,IEEE118,0,True,pu_zscore,0.2773231863975525,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE118_s0.pt,100,6.562325954437256,14798.88671875,5400,0.08611398190259933,182.89524841308594,6400,0.15866540372371674,0.028946861624717712,11700,0.3709012269973755,128.6157989501953,15713.5009765625,15902.6142578125,15926.681640625,486.1427917480469,1210.6353759765625,2025.2353515625,0.07449014484882355,0.08539850264787674,0.1344759464263916,187.71876525878906,204.8555450439453,220.0340118408203,6400,0.1404687464237213,0.38187500834465027,0.6106785535812378,0.3806580603122711,791.1526980189824,17272.287818063607,2679.371716941211,315.3280600485774,7657.961991521317,1285.3444302803678,2649.4008615227935,488.829753767207,0.0037645663818632147,1980.2233936279074,677.2283342026458,0.10627253852038028,0.338269041634794,0.6308483290488431,0.33459680870575287
ood,gcn,IEEE118,IEEE118,100,True,pu_zscore,0.29465773701667786,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE118_s100.pt,100,6.9438042640686035,15659.771484375,5400,0.11162502318620682,178.7528533935547,6400,0.150308758020401,0.027041034772992134,11700,0.3547818064689636,123.15868377685547,16528.875,16713.365234375,16737.18359375,598.8907470703125,2058.251220703125,3105.088134765625,0.06276708096265793,0.08683325350284576,0.14821475744247437,180.86526489257812,197.19912719726562,207.09335327148438,6400,0.1404687464237213,0.32484376430511475,0.6751946806907654,0.32485002279281616,726.2365169861966,16595.096255067234,2226.6910120036205,256.6843520543933,8166.409766358735,867.2592078513746,2431.233580431515,396.6765605046484,0.0037645663818632147,1437.8050334398345,677.2283342026458,0.10627253852038028,0.20123483772265327,0.662210796915167,0.18499724888426974
ood,gcn,IEEE118,IEEE118,1000,True,pu_zscore,0.16927570104599,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE118_s1000.pt,100,2.6055517196655273,5850.330078125,5400,0.2791469395160675,664.7537231445312,6400,0.1816275268793106,0.02937125228345394,11700,0.3917071223258972,135.03810119628906,6824.2861328125,7021.94921875,7046.44140625,2183.716796875,2926.47412109375,2974.990966796875,0.08995778858661652,0.12867304682731628,0.19898474216461182,200.72286987304688,224.892578125,258.77880859375,6400,0.1404687464237213,0.22171874344348907,0.6418242454528809,0.19941829144954681,1403.7431942253947,10373.744916642208,4711.257768607587,805.7344849106922,11160.47431389117,2275.0351032346243,4701.118690401115,1247.6854990941824,0.0037645663818632147,2037.3458706696465,677.2283342026458,0.10627253852038028,0.6532072997486613,0.2565552699228792,0.6424772268753439
ood,gcn,IEEE118,IEEE118,300,True,pu_zscore,0.3385016620159149,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE118_s300.pt,100,8.018763542175293,18086.826171875,5400,0.10907510668039322,208.42233276367188,6400,0.14343984425067902,0.024630887433886528,11700,0.3515876233577728,121.575927734375,19029.162109375,19220.8671875,19245.048828125,801.3173217773438,1627.8228759765625,2558.604248046875,0.06767235696315765,0.09561663120985031,0.1633375883102417,181.46676635742188,198.24879455566406,215.44906616210938,6400,0.1404687464237213,0.14015625417232513,0.8631812930107117,0.14070169627666473,623.1999378827304,12283.502334353236,1880.8307097175996,211.9260495897734,3621.879527703234,741.1558857841189,2086.5338258380266,328.33766961045853,0.0037645663818632147,1129.861427065558,677.2283342026458,0.10627253852038028,0.25882417222161513,0.7136246786632391,0.25554808338937457
ood,gcn,IEEE118,IEEE118,700,True,pu_zscore,0.1326328068971634,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE118_s700.pt,100,2.855187177658081,6418.15380859375,5400,0.11713527888059616,284.59429931640625,6400,0.1461271047592163,0.02352902479469776,11700,0.34781259298324585,119.6783447265625,7369.11767578125,7563.10791015625,7587.41552734375,806.266845703125,1253.179443359375,2219.783935546875,0.06216058507561684,0.10773030668497086,0.17272961139678955,180.89572143554688,200.0528564453125,231.9716339111328,6400,0.1404687464237213,0.35249999165534973,0.538375973701477,0.3346664309501648,964.126822767359,15650.108538285434,3387.1619866333085,364.8859793049877,6854.914223532259,1229.713130232711,3227.6567946144382,564.6479250346179,0.0037645663818632147,2050.625092131483,677.2283342026458,0.10627253852038028,0.3663534039995629,0.6632390745501285,0.3698722259583053
ood,gcn,IEEE24,IEEE24,0,True,pu_zscore,0.9357134699821472,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE24_s0.pt,100,3.9787580966949463,4666.65576171875,1100,1.953395128250122,530.8695068359375,1300,0.34758156538009644,0.035394541919231415,2300,0.66611248254776,41.85536575317383,6843.23583984375,11649.9794921875,11987.009765625,3433.808837890625,3666.4384765625,7708.08642578125,0.1406952291727066,0.14710456132888794,0.15323948860168457,120.7667007446289,137.5834503173828,193.46803283691406,1300,0.03999999910593033,0.1561538428068161,0.6730769276618958,0.14903846383094788,2801.7251204244635,13445.766788574665,10505.565824940302,1790.324455521758,11102.547034146408,7620.204503343129,3628.8182603466034,3574.6855487707435,0.0008034773983256471,2769.1664471046615,151.31231666828333,0.024337479718766902,0.7582477014602488,0.03333333333333333,0.7530487804878049
ood,gcn,IEEE24,IEEE24,100,True,pu_zscore,0.8642911911010742,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE24_s100.pt,100,3.3764488697052,3946.4052734375,1100,2.005878210067749,597.0563354492188,1300,0.3708474934101105,0.039136968553066254,2300,0.589508056640625,37.063899993896484,5640.3662109375,9805.7626953125,10017.908203125,3565.2119140625,3622.17138671875,5910.65087890625,0.13716992735862732,0.1549164056777954,0.16084927320480347,101.62876892089844,138.2762908935547,153.931884765625,1300,0.03999999910593033,0.17230768501758575,0.9038461446762085,0.17548076808452606,2782.8194980317508,11738.813078167903,9230.751212221448,1794.506210495925,12498.234757328586,6566.805990772904,3606.1842000691713,3567.9006587759154,0.0008034773983256471,2866.6674519924186,151.31231666828333,0.024337479718766902,0.8039480800432667,0.022222222222222223,0.7996119733924612
ood,gcn,IEEE24,IEEE24,1000,True,pu_zscore,1.818023443222046,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE24_s1000.pt,100,9.545459747314453,11685.2197265625,1100,1.7407981157302856,437.8912048339844,1300,0.2312970757484436,0.028266839683055878,2300,0.6973726749420166,44.58953857421875,12420.9296875,12491.3095703125,12511.9873046875,3517.334228515625,3662.249267578125,3710.382080078125,0.05935968458652496,0.07165960222482681,0.09566205739974976,132.70382690429688,144.57345581054688,156.186279296875,1300,0.03999999910593033,0.127692312002182,1.0,0.1330128163099289,3092.1951171637597,14397.101293872862,9956.364167755282,3607.956334230097,25053.176750255236,13815.097965273222,3996.3723743103487,6988.982965082056,0.0008034773983256471,2118.5377339943843,151.31231666828333,0.024337479718766902,0.8699296917252569,0.022222222222222223,0.8672394678492239
ood,gcn,IEEE24,IEEE24,300,True,pu_zscore,0.4124068021774292,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE24_s300.pt,100,1.4589967727661133,1734.487548828125,1100,1.0374770164489746,355.4205322265625,1300,0.2452065795660019,0.029181262478232384,2300,0.5782437920570374,37.228477478027344,2532.500732421875,3245.31005859375,3308.4560546875,1487.8189697265625,1768.645263671875,2912.60888671875,0.06444069743156433,0.07294929027557373,0.09906333684921265,101.7857437133789,127.1244888305664,185.49777221679688,1300,0.03999999910593033,0.17384615540504456,0.8846153616905212,0.17628204822540283,2417.0019244500468,13862.921072605266,8157.961712726544,1571.253830930056,12554.188933420714,6497.671151625991,3135.412240417079,3149.404677397499,0.0008034773983256471,2119.1989749502823,151.31231666828333,0.024337479718766902,0.6400757166035695,0.05555555555555555,0.6324833702882483
ood,gcn,IEEE24,IEEE24,700,True,pu_zscore,0.8636902570724487,ckpt_norm/ood_gcn/ood_gcn_heldout_IEEE24_s700.pt,100,3.508112907409668,2765.497802734375,1100,1.9202724695205688,560.7538452148438,1300,0.3594363033771515,0.03532349318265915,2300,0.45488786697387695,26.60014533996582,8346.3173828125,18153.4921875,18204.123046875,3398.067138671875,3594.17529296875,8005.2646484375,0.12739326059818268,0.13595525920391083,0.15742576122283936,79.05472564697266,124.05948638916016,169.74351501464844,1300,0.03999999910593033,0.20307692885398865,0.9230769276618958,0.2083333283662796,1872.2830874989615,19665.934135084724,4371.715526508568,1125.4931942326937,7551.652353414321,4063.9428649901947,2426.9398083723613,2215.2018886028973,0.0008034773983256471,2711.238200569665,151.31231666828333,0.024337479718766902,0.7509464575446188,0.011111111111111112,0.7450110864745011
